Year,VideoCategoryId,Duration,Category Title,Duration_minutes
2013,1,6912.51,Film & Animation,115.2085
2013,2,483.06,Autos & Vehicles,8.051
2013,10,247.81,Music,4.130166666666667
2013,15,296.59,Pets & Animals,4.9431666666666665
2013,17,245.71,Sports,4.095166666666667
2013,19,708.13,Travel & Events,11.802166666666666
2013,20,525.94,Gaming,8.765666666666668
2013,22,1223.33,People & Blogs,20.38883333333333
2013,23,278.67,Comedy,4.6445
2013,24,265.44,Entertainment,4.424
2013,25,701.15,News & Politics,11.685833333333333
2013,26,400.3,Howto & Style,6.671666666666667
2013,27,641.9,Education,10.698333333333332
2013,28,644.9,Science & Technology,10.748333333333333
2013,29,829.75,Nonprofits & Activism,13.829166666666667
2014,1,7674.77,Film & Animation,127.91283333333334
2014,2,462.08,Autos & Vehicles,7.701333333333333
2014,10,243.88,Music,4.064666666666667
2014,15,338.01,Pets & Animals,5.6335
2014,17,348.85,Sports,5.814166666666667
2014,19,838.11,Travel & Events,13.9685
2014,20,608.98,Gaming,10.149666666666667
2014,22,717.96,People & Blogs,11.966000000000001
2014,23,416.36,Comedy,6.939333333333334
2014,24,346.66,Entertainment,5.777666666666667
2014,25,972.46,News & Politics,16.207666666666668
2014,26,344.36,Howto & Style,5.739333333333334
2014,27,463.25,Education,7.720833333333333
2014,28,547.87,Science & Technology,9.131166666666667
2014,29,818.98,Nonprofits & Activism,13.649666666666667
2015,1,6899.84,Film & Animation,114.99733333333333
2015,2,494.01,Autos & Vehicles,8.2335
2015,10,253.65,Music,4.2275
2015,15,256.83,Pets & Animals,4.2805
2015,17,510.85,Sports,8.514166666666666
2015,19,516.82,Travel & Events,8.613666666666667
2015,20,566.02,Gaming,9.433666666666666
2015,22,1073.84,People & Blogs,17.897333333333332
2015,23,341.28,Comedy,5.688
2015,24,765.75,Entertainment,12.7625
2015,25,565.5,News & Politics,9.425
2015,26,403.97,Howto & Style,6.732833333333334
2015,27,438.13,Education,7.3021666666666665
2015,28,359.3,Science & Technology,5.988333333333333
2015,29,772.92,Nonprofits & Activism,12.882
2016,1,5562.74,Film & Animation,92.71233333333333
2016,2,625.68,Autos & Vehicles,10.427999999999999
2016,10,315.14,Music,5.2523333333333335
2016,15,517.28,Pets & Animals,8.621333333333332
2016,17,681.25,Sports,11.354166666666666
2016,19,415.17,Travel & Events,6.9195
2016,20,642.18,Gaming,10.703
2016,22,2001.03,People & Blogs,33.3505
2016,23,350.23,Comedy,5.837166666666667
2016,24,483.5,Entertainment,8.058333333333334
2016,25,643.83,News & Politics,10.730500000000001
2016,26,341.45,Howto & Style,5.690833333333333
2016,27,499.89,Education,8.3315
2016,28,507.53,Science & Technology,8.458833333333333
2016,29,866.83,Nonprofits & Activism,14.447166666666668
2017,1,4736.19,Film & Animation,78.9365
2017,2,449.39,Autos & Vehicles,7.489833333333333
2017,10,243.08,Music,4.051333333333334
2017,15,592.06,Pets & Animals,9.867666666666667
2017,17,469.67,Sports,7.827833333333333
2017,19,450.72,Travel & Events,7.5120000000000005
2017,20,1068.56,Gaming,17.80933333333333
2017,22,515.76,People & Blogs,8.596
2017,23,457.96,Comedy,7.632666666666666
2017,24,469.24,Entertainment,7.820666666666667
2017,25,1096.75,News & Politics,18.279166666666665
2017,26,456.56,Howto & Style,7.609333333333334
2017,27,801.05,Education,13.350833333333332
2017,28,636.72,Science & Technology,10.612
2017,29,938.24,Nonprofits & Activism,15.637333333333334
2018,1,3362.29,Film & Animation,56.03816666666667
2018,2,550.95,Autos & Vehicles,9.182500000000001
2018,10,235.72,Music,3.9286666666666665
2018,15,568.99,Pets & Animals,9.483166666666667
2018,17,486.58,Sports,8.109666666666666
2018,19,609.3,Travel & Events,10.155
2018,20,1083.25,Gaming,18.054166666666667
2018,22,528.88,People & Blogs,8.814666666666666
2018,23,616.79,Comedy,10.279833333333332
2018,24,701.03,Entertainment,11.683833333333332
2018,25,1114.31,News & Politics,18.571833333333334
2018,26,520.85,Howto & Style,8.680833333333334
2018,27,808.02,Education,13.467
2018,28,562.22,Science & Technology,9.370333333333333
2018,29,744.48,Nonprofits & Activism,12.408
2019,1,1237.49,Film & Animation,20.624833333333335
2019,2,712.49,Autos & Vehicles,11.874833333333333
2019,10,238.11,Music,3.9685
2019,15,849.1,Pets & Animals,14.151666666666667
2019,17,618.03,Sports,10.3005
2019,19,980.93,Travel & Events,16.34883333333333
2019,20,1367.1,Gaming,22.785
2019,22,825.7,People & Blogs,13.761666666666667
2019,23,750.08,Comedy,12.501333333333333
2019,24,530.68,Entertainment,8.844666666666665
2019,25,1441.63,News & Politics,24.02716666666667
2019,26,668.77,Howto & Style,11.146166666666666
2019,27,932.47,Education,15.541166666666667
2019,28,734.73,Science & Technology,12.2455
2019,29,779.25,Nonprofits & Activism,12.9875
2020,1,545.55,Film & Animation,9.0925
2020,2,1192.09,Autos & Vehicles,19.868166666666664
2020,10,239.43,Music,3.9905
2020,15,1037.68,Pets & Animals,17.294666666666668
2020,17,1177.04,Sports,19.61733333333333
2020,19,1166.05,Travel & Events,19.434166666666666
2020,20,1303.82,Gaming,21.73033333333333
2020,22,913.66,People & Blogs,15.227666666666666
