Execution Date,Category ID,Quantity,Category Title
2024-03-09,1,3,Film & Animation
2024-03-09,2,5,Autos & Vehicles
2024-03-09,10,14,Music
2024-03-09,17,19,Sports
2024-03-09,20,17,Gaming
2024-03-09,22,8,People & Blogs
2024-03-09,23,3,Comedy
2024-03-09,24,18,Entertainment
2024-03-09,25,4,News & Politics
2024-03-09,26,3,Howto & Style
2024-03-09,27,4,Education
2024-03-09,28,2,Science & Technology
2024-03-10,1,4,Film & Animation
2024-03-10,2,3,Autos & Vehicles
2024-03-10,10,16,Music
2024-03-10,17,16,Sports
2024-03-10,20,17,Gaming
2024-03-10,22,7,People & Blogs
2024-03-10,23,5,Comedy
2024-03-10,24,19,Entertainment
2024-03-10,25,4,News & Politics
2024-03-10,26,3,Howto & Style
2024-03-10,27,4,Education
2024-03-10,28,2,Science & Technology
2024-03-11,1,5,Film & Animation
2024-03-11,2,4,Autos & Vehicles
2024-03-11,10,13,Music
2024-03-11,17,20,Sports
2024-03-11,20,14,Gaming
2024-03-11,22,6,People & Blogs
2024-03-11,23,7,Comedy
2024-03-11,24,19,Entertainment
2024-03-11,25,6,News & Politics
2024-03-11,26,5,Howto & Style
2024-03-11,27,1,Education
2024-03-12,1,4,Film & Animation
2024-03-12,2,4,Autos & Vehicles
2024-03-12,10,10,Music
2024-03-12,17,20,Sports
2024-03-12,19,1,Travel & Events
2024-03-12,20,20,Gaming
2024-03-12,22,10,People & Blogs
2024-03-12,23,7,Comedy
2024-03-12,24,16,Entertainment
2024-03-12,25,4,News & Politics
2024-03-12,26,2,Howto & Style
2024-03-12,27,1,Education
2024-03-12,28,1,Science & Technology
2024-03-13,1,4,Film & Animation
2024-03-13,2,4,Autos & Vehicles
2024-03-13,10,10,Music
2024-03-13,17,18,Sports
2024-03-13,19,1,Travel & Events
2024-03-13,20,21,Gaming
2024-03-13,22,10,People & Blogs
2024-03-13,23,5,Comedy
2024-03-13,24,15,Entertainment
2024-03-13,25,5,News & Politics
2024-03-13,26,2,Howto & Style
2024-03-13,27,2,Education
2024-03-13,28,3,Science & Technology
2024-03-14,1,2,Film & Animation
2024-03-14,2,5,Autos & Vehicles
2024-03-14,10,13,Music
2024-03-14,17,15,Sports
2024-03-14,19,1,Travel & Events
2024-03-14,20,22,Gaming
2024-03-14,22,9,People & Blogs
2024-03-14,23,4,Comedy
2024-03-14,24,15,Entertainment
2024-03-14,25,6,News & Politics
2024-03-14,26,3,Howto & Style
2024-03-14,27,2,Education
2024-03-14,28,3,Science & Technology
2024-03-15,1,1,Film & Animation
2024-03-15,2,3,Autos & Vehicles
2024-03-15,10,14,Music
2024-03-15,17,12,Sports
2024-03-15,19,1,Travel & Events
2024-03-15,20,25,Gaming
2024-03-15,22,11,People & Blogs
2024-03-15,23,4,Comedy
2024-03-15,24,17,Entertainment
2024-03-15,25,4,News & Politics
2024-03-15,26,2,Howto & Style
2024-03-15,27,2,Education
2024-03-15,28,4,Science & Technology
2024-03-18,1,1,Film & Animation
2024-03-18,10,19,Music
2024-03-18,17,12,Sports
2024-03-18,19,2,Travel & Events
2024-03-18,20,11,Gaming
2024-03-18,22,14,People & Blogs
2024-03-18,23,7,Comedy
2024-03-18,24,22,Entertainment
2024-03-18,25,3,News & Politics
2024-03-18,26,1,Howto & Style
2024-03-18,27,1,Education
2024-03-18,28,7,Science & Technology
2024-03-19,1,1,Film & Animation
2024-03-19,10,11,Music
2024-03-19,17,19,Sports
2024-03-19,19,3,Travel & Events
2024-03-19,20,15,Gaming
2024-03-19,22,15,People & Blogs
2024-03-19,23,5,Comedy
2024-03-19,24,21,Entertainment
2024-03-19,25,2,News & Politics
2024-03-19,26,2,Howto & Style
2024-03-19,27,1,Education
2024-03-19,28,5,Science & Technology
2024-03-20,1,2,Film & Animation
2024-03-20,10,9,Music
2024-03-20,17,17,Sports
2024-03-20,19,3,Travel & Events
2024-03-20,20,24,Gaming
2024-03-20,22,13,People & Blogs
2024-03-20,23,3,Comedy
2024-03-20,24,17,Entertainment
2024-03-20,25,2,News & Politics
2024-03-20,26,3,Howto & Style
2024-03-20,27,3,Education
2024-03-20,28,4,Science & Technology
2024-03-21,1,4,Film & Animation
2024-03-21,10,8,Music
2024-03-21,17,15,Sports
2024-03-21,19,4,Travel & Events
2024-03-21,20,25,Gaming
2024-03-21,22,10,People & Blogs
2024-03-21,23,1,Comedy
2024-03-21,24,22,Entertainment
2024-03-21,25,2,News & Politics
2024-03-21,26,2,Howto & Style
2024-03-21,27,2,Education
2024-03-21,28,5,Science & Technology
2024-03-22,1,4,Film & Animation
2024-03-22,2,1,Autos & Vehicles
2024-03-22,10,7,Music
2024-03-22,17,10,Sports
2024-03-22,19,3,Travel & Events
2024-03-22,20,29,Gaming
2024-03-22,22,10,People & Blogs
2024-03-22,23,3,Comedy
2024-03-22,24,20,Entertainment
2024-03-22,25,1,News & Politics
2024-03-22,26,5,Howto & Style
2024-03-22,27,3,Education
2024-03-22,28,4,Science & Technology
2024-03-23,1,4,Film & Animation
2024-03-23,2,1,Autos & Vehicles
2024-03-23,10,10,Music
2024-03-23,17,10,Sports
2024-03-23,19,3,Travel & Events
2024-03-23,20,28,Gaming
2024-03-23,22,10,People & Blogs
2024-03-23,23,3,Comedy
