Execution Date,Category ID,Quantity,Category Title
2024-03-09,1,2,Film & Animation
2024-03-09,2,1,Autos & Vehicles
2024-03-09,10,13,Music
2024-03-09,17,22,Sports
2024-03-09,19,2,Travel & Events
2024-03-09,20,15,Gaming
2024-03-09,22,8,People & Blogs
2024-03-09,23,4,Comedy
2024-03-09,24,27,Entertainment
2024-03-09,26,1,Howto & Style
2024-03-09,27,1,Education
2024-03-09,28,4,Science & Technology
2024-03-10,1,2,Film & Animation
2024-03-10,10,16,Music
2024-03-10,17,21,Sports
2024-03-10,19,2,Travel & Events
2024-03-10,20,18,Gaming
2024-03-10,22,6,People & Blogs
2024-03-10,23,3,Comedy
2024-03-10,24,26,Entertainment
2024-03-10,25,1,News & Politics
2024-03-10,27,1,Education
2024-03-10,28,4,Science & Technology
2024-03-11,2,1,Autos & Vehicles
2024-03-11,10,13,Music
2024-03-11,17,34,Sports
2024-03-11,19,2,Travel & Events
2024-03-11,20,15,Gaming
2024-03-11,22,5,People & Blogs
2024-03-11,23,3,Comedy
2024-03-11,24,20,Entertainment
2024-03-11,25,4,News & Politics
2024-03-11,27,1,Education
2024-03-11,28,2,Science & Technology
2024-03-12,1,2,Film & Animation
2024-03-12,2,1,Autos & Vehicles
2024-03-12,10,12,Music
2024-03-12,17,29,Sports
2024-03-12,19,2,Travel & Events
2024-03-12,20,19,Gaming
2024-03-12,22,7,People & Blogs
2024-03-12,23,5,Comedy
2024-03-12,24,16,Entertainment
2024-03-12,25,3,News & Politics
2024-03-12,27,1,Education
2024-03-12,28,3,Science & Technology
2024-03-13,1,2,Film & Animation
2024-03-13,2,1,Autos & Vehicles
2024-03-13,10,14,Music
2024-03-13,17,28,Sports
2024-03-13,19,1,Travel & Events
2024-03-13,20,18,Gaming
2024-03-13,22,8,People & Blogs
2024-03-13,23,4,Comedy
2024-03-13,24,18,Entertainment
2024-03-13,25,2,News & Politics
2024-03-13,27,1,Education
2024-03-13,28,3,Science & Technology
2024-03-14,2,1,Autos & Vehicles
2024-03-14,10,10,Music
2024-03-14,17,30,Sports
2024-03-14,19,1,Travel & Events
2024-03-14,20,14,Gaming
2024-03-14,22,11,People & Blogs
2024-03-14,23,2,Comedy
2024-03-14,24,23,Entertainment
2024-03-14,25,3,News & Politics
2024-03-14,27,1,Education
2024-03-14,28,4,Science & Technology
2024-03-15,1,1,Film & Animation
2024-03-15,2,1,Autos & Vehicles
2024-03-15,10,21,Music
2024-03-15,17,17,Sports
2024-03-15,19,2,Travel & Events
2024-03-15,20,11,Gaming
2024-03-15,22,14,People & Blogs
2024-03-15,23,1,Comedy
2024-03-15,24,24,Entertainment
2024-03-15,25,1,News & Politics
2024-03-15,26,1,Howto & Style
2024-03-15,27,1,Education
2024-03-15,28,5,Science & Technology
2024-03-18,1,2,Film & Animation
2024-03-18,2,1,Autos & Vehicles
2024-03-18,10,29,Music
2024-03-18,17,14,Sports
2024-03-18,19,1,Travel & Events
2024-03-18,20,12,Gaming
2024-03-18,22,7,People & Blogs
2024-03-18,23,2,Comedy
2024-03-18,24,24,Entertainment
2024-03-18,25,3,News & Politics
2024-03-18,26,1,Howto & Style
2024-03-18,28,4,Science & Technology
2024-03-19,1,1,Film & Animation
2024-03-19,2,1,Autos & Vehicles
2024-03-19,10,29,Music
2024-03-19,17,13,Sports
2024-03-19,20,13,Gaming
2024-03-19,22,10,People & Blogs
2024-03-19,23,1,Comedy
2024-03-19,24,23,Entertainment
2024-03-19,25,4,News & Politics
2024-03-19,26,1,Howto & Style
2024-03-19,28,4,Science & Technology
2024-03-20,1,2,Film & Animation
2024-03-20,2,2,Autos & Vehicles
2024-03-20,10,19,Music
2024-03-20,17,16,Sports
2024-03-20,20,17,Gaming
2024-03-20,22,9,People & Blogs
2024-03-20,23,2,Comedy
2024-03-20,24,24,Entertainment
2024-03-20,25,4,News & Politics
2024-03-20,26,1,Howto & Style
2024-03-20,28,4,Science & Technology
