Execution Date,Category ID,Quantity,Category Title
2024-03-09,1,4,Film & Animation
2024-03-09,2,3,Autos & Vehicles
2024-03-09,10,13,Music
2024-03-09,17,15,Sports
2024-03-09,20,19,Gaming
2024-03-09,22,5,People & Blogs
2024-03-09,23,4,Comedy
2024-03-09,24,20,Entertainment
2024-03-09,25,6,News & Politics
2024-03-09,26,5,Howto & Style
2024-03-09,27,4,Education
2024-03-09,28,2,Science & Technology
2024-03-10,1,3,Film & Animation
2024-03-10,2,4,Autos & Vehicles
2024-03-10,10,17,Music
2024-03-10,17,19,Sports
2024-03-10,20,19,Gaming
2024-03-10,22,4,People & Blogs
2024-03-10,23,4,Comedy
2024-03-10,24,15,Entertainment
2024-03-10,25,4,News & Politics
2024-03-10,26,6,Howto & Style
2024-03-10,27,4,Education
2024-03-10,28,1,Science & Technology
2024-03-11,1,5,Film & Animation
2024-03-11,2,2,Autos & Vehicles
2024-03-11,10,14,Music
2024-03-11,17,19,Sports
2024-03-11,20,17,Gaming
2024-03-11,22,5,People & Blogs
2024-03-11,23,7,Comedy
2024-03-11,24,15,Entertainment
2024-03-11,25,4,News & Politics
2024-03-11,26,8,Howto & Style
2024-03-11,27,3,Education
2024-03-11,28,1,Science & Technology
2024-03-12,1,4,Film & Animation
2024-03-12,2,5,Autos & Vehicles
2024-03-12,10,14,Music
2024-03-12,17,16,Sports
2024-03-12,20,19,Gaming
2024-03-12,22,7,People & Blogs
2024-03-12,23,8,Comedy
2024-03-12,24,16,Entertainment
2024-03-12,25,5,News & Politics
2024-03-12,26,3,Howto & Style
2024-03-12,27,1,Education
2024-03-12,28,2,Science & Technology
2024-03-13,1,6,Film & Animation
2024-03-13,2,2,Autos & Vehicles
2024-03-13,10,10,Music
2024-03-13,17,13,Sports
2024-03-13,20,20,Gaming
2024-03-13,22,9,People & Blogs
2024-03-13,23,7,Comedy
2024-03-13,24,23,Entertainment
2024-03-13,25,3,News & Politics
2024-03-13,26,2,Howto & Style
2024-03-13,27,2,Education
2024-03-13,28,3,Science & Technology
2024-03-14,1,3,Film & Animation
2024-03-14,2,5,Autos & Vehicles
2024-03-14,10,12,Music
2024-03-14,17,13,Sports
2024-03-14,19,1,Travel & Events
2024-03-14,20,18,Gaming
2024-03-14,22,10,People & Blogs
2024-03-14,23,6,Comedy
2024-03-14,24,22,Entertainment
2024-03-14,25,5,News & Politics
2024-03-14,26,1,Howto & Style
2024-03-14,27,1,Education
2024-03-14,28,3,Science & Technology
2024-03-15,1,5,Film & Animation
2024-03-15,2,3,Autos & Vehicles
2024-03-15,10,19,Music
2024-03-15,17,10,Sports
2024-03-15,19,1,Travel & Events
2024-03-15,20,21,Gaming
2024-03-15,22,5,People & Blogs
2024-03-15,23,3,Comedy
2024-03-15,24,21,Entertainment
2024-03-15,25,4,News & Politics
2024-03-15,27,3,Education
2024-03-15,28,5,Science & Technology
2024-03-18,1,3,Film & Animation
2024-03-18,10,21,Music
2024-03-18,17,15,Sports
2024-03-18,19,1,Travel & Events
2024-03-18,20,17,Gaming
2024-03-18,22,8,People & Blogs
2024-03-18,23,4,Comedy
2024-03-18,24,20,Entertainment
2024-03-18,25,3,News & Politics
2024-03-18,26,2,Howto & Style
2024-03-18,27,3,Education
2024-03-18,28,3,Science & Technology
2024-03-19,1,1,Film & Animation
2024-03-19,10,16,Music
2024-03-19,17,19,Sports
2024-03-19,19,1,Travel & Events
2024-03-19,20,17,Gaming
2024-03-19,22,10,People & Blogs
2024-03-19,23,4,Comedy
2024-03-19,24,23,Entertainment
2024-03-19,26,3,Howto & Style
2024-03-19,27,2,Education
2024-03-19,28,4,Science & Technology
2024-03-20,1,2,Film & Animation
2024-03-20,2,2,Autos & Vehicles
2024-03-20,10,13,Music
2024-03-20,17,13,Sports
2024-03-20,19,2,Travel & Events
2024-03-20,20,20,Gaming
2024-03-20,22,11,People & Blogs
2024-03-20,23,6,Comedy
2024-03-20,24,19,Entertainment
2024-03-20,25,1,News & Politics
2024-03-20,26,5,Howto & Style
2024-03-20,27,3,Education
2024-03-20,28,3,Science & Technology
