Execution Date,Category ID,Quantity,Category Title
2024-03-06,1,1,Film & Animation
2024-03-06,2,3,Autos & Vehicles
2024-03-06,10,12,Music
2024-03-06,17,22,Sports
2024-03-06,20,13,Gaming
2024-03-06,22,11,People & Blogs
2024-03-06,23,1,Comedy
2024-03-06,24,29,Entertainment
2024-03-06,25,2,News & Politics
2024-03-06,26,2,Howto & Style
2024-03-06,27,1,Education
2024-03-06,28,3,Science & Technology
2024-03-07,1,1,Film & Animation
2024-03-07,2,2,Autos & Vehicles
2024-03-07,10,7,Music
2024-03-07,17,20,Sports
2024-03-07,20,14,Gaming
2024-03-07,22,10,People & Blogs
2024-03-07,23,1,Comedy
2024-03-07,24,31,Entertainment
2024-03-07,25,5,News & Politics
2024-03-07,26,2,Howto & Style
2024-03-07,27,3,Education
2024-03-07,28,4,Science & Technology
2024-03-08,1,1,Film & Animation
2024-03-08,2,2,Autos & Vehicles
2024-03-08,10,17,Music
2024-03-08,17,11,Sports
2024-03-08,19,1,Travel & Events
2024-03-08,20,13,Gaming
2024-03-08,22,9,People & Blogs
2024-03-08,23,4,Comedy
2024-03-08,24,25,Entertainment
2024-03-08,25,5,News & Politics
2024-03-08,26,2,Howto & Style
2024-03-08,27,7,Education
2024-03-08,28,3,Science & Technology
2024-03-09,1,1,Film & Animation
2024-03-09,2,4,Autos & Vehicles
2024-03-09,10,18,Music
2024-03-09,17,15,Sports
2024-03-09,19,1,Travel & Events
2024-03-09,20,14,Gaming
2024-03-09,22,6,People & Blogs
2024-03-09,23,5,Comedy
2024-03-09,24,19,Entertainment
2024-03-09,25,8,News & Politics
2024-03-09,26,1,Howto & Style
2024-03-09,27,6,Education
2024-03-09,28,2,Science & Technology
2024-03-10,1,3,Film & Animation
2024-03-10,2,3,Autos & Vehicles
2024-03-10,10,23,Music
2024-03-10,17,16,Sports
2024-03-10,19,1,Travel & Events
2024-03-10,20,11,Gaming
2024-03-10,22,9,People & Blogs
2024-03-10,23,5,Comedy
2024-03-10,24,19,Entertainment
2024-03-10,25,4,News & Politics
2024-03-10,27,3,Education
2024-03-10,28,3,Science & Technology
2024-03-11,1,1,Film & Animation
2024-03-11,2,4,Autos & Vehicles
2024-03-11,10,21,Music
2024-03-11,17,20,Sports
2024-03-11,19,1,Travel & Events
2024-03-11,20,8,Gaming
2024-03-11,22,8,People & Blogs
2024-03-11,23,5,Comedy
2024-03-11,24,25,Entertainment
2024-03-11,25,5,News & Politics
2024-03-11,26,1,Howto & Style
2024-03-11,27,1,Education
2024-03-12,1,1,Film & Animation
2024-03-12,2,5,Autos & Vehicles
2024-03-12,10,14,Music
2024-03-12,17,19,Sports
2024-03-12,20,9,Gaming
2024-03-12,22,10,People & Blogs
2024-03-12,23,4,Comedy
2024-03-12,24,30,Entertainment
2024-03-12,25,6,News & Politics
2024-03-12,27,1,Education
2024-03-12,28,1,Science & Technology
2024-03-13,2,5,Autos & Vehicles
2024-03-13,10,7,Music
2024-03-13,17,19,Sports
2024-03-13,20,10,Gaming
2024-03-13,22,12,People & Blogs
2024-03-13,23,4,Comedy
2024-03-13,24,32,Entertainment
2024-03-13,25,8,News & Politics
2024-03-13,26,1,Howto & Style
2024-03-13,27,1,Education
2024-03-13,28,1,Science & Technology
2024-03-14,2,4,Autos & Vehicles
2024-03-14,10,6,Music
2024-03-14,17,17,Sports
2024-03-14,19,1,Travel & Events
2024-03-14,20,10,Gaming
2024-03-14,22,10,People & Blogs
2024-03-14,23,2,Comedy
2024-03-14,24,33,Entertainment
2024-03-14,25,10,News & Politics
2024-03-14,26,1,Howto & Style
2024-03-14,27,2,Education
2024-03-14,28,4,Science & Technology
2024-03-15,2,3,Autos & Vehicles
2024-03-15,10,12,Music
2024-03-15,17,14,Sports
2024-03-15,19,1,Travel & Events
2024-03-15,20,10,Gaming
2024-03-15,22,9,People & Blogs
2024-03-15,23,4,Comedy
2024-03-15,24,34,Entertainment
2024-03-15,25,7,News & Politics
2024-03-15,26,1,Howto & Style
2024-03-15,27,2,Education
2024-03-15,28,3,Science & Technology
2024-03-18,1,2,Film & Animation
2024-03-18,2,4,Autos & Vehicles
2024-03-18,10,23,Music
2024-03-18,17,16,Sports
2024-03-18,19,1,Travel & Events
2024-03-18,20,7,Gaming
2024-03-18,22,9,People & Blogs
2024-03-18,23,4,Comedy
2024-03-18,24,24,Entertainment
2024-03-18,25,2,News & Politics
2024-03-18,26,1,Howto & Style
2024-03-18,27,1,Education
2024-03-18,28,6,Science & Technology
2024-03-19,1,2,Film & Animation
2024-03-19,2,3,Autos & Vehicles
2024-03-19,10,13,Music
2024-03-19,17,20,Sports
2024-03-19,19,1,Travel & Events
2024-03-19,20,15,Gaming
2024-03-19,22,9,People & Blogs
2024-03-19,23,2,Comedy
2024-03-19,24,26,Entertainment
2024-03-19,25,1,News & Politics
2024-03-19,26,2,Howto & Style
2024-03-19,27,1,Education
2024-03-19,28,5,Science & Technology
2024-03-20,1,3,Film & Animation
2024-03-20,2,4,Autos & Vehicles
2024-03-20,10,3,Music
2024-03-20,17,17,Sports
2024-03-20,19,1,Travel & Events
2024-03-20,20,18,Gaming
2024-03-20,22,9,People & Blogs
2024-03-20,23,1,Comedy
2024-03-20,24,30,Entertainment
2024-03-20,25,4,News & Politics
2024-03-20,26,2,Howto & Style
2024-03-20,27,2,Education
2024-03-20,28,6,Science & Technology
2024-03-21,1,5,Film & Animation
2024-03-21,2,4,Autos & Vehicles
2024-03-21,10,2,Music
2024-03-21,17,14,Sports
2024-03-21,19,2,Travel & Events
2024-03-21,20,19,Gaming
2024-03-21,22,10,People & Blogs
2024-03-21,23,2,Comedy
2024-03-21,24,29,Entertainment
2024-03-21,25,5,News & Politics
2024-03-21,26,1,Howto & Style
2024-03-21,27,2,Education
2024-03-21,28,5,Science & Technology
2024-03-22,1,4,Film & Animation
2024-03-22,2,6,Autos & Vehicles
2024-03-22,10,9,Music
2024-03-22,17,9,Sports
2024-03-22,19,1,Travel & Events
2024-03-22,20,17,Gaming
2024-03-22,22,9,People & Blogs
2024-03-22,23,1,Comedy
2024-03-22,24,30,Entertainment
2024-03-22,25,5,News & Politics
2024-03-22,26,2,Howto & Style
2024-03-22,27,4,Education
2024-03-22,28,3,Science & Technology
2024-03-23,1,5,Film & Animation
2024-03-23,2,6,Autos & Vehicles
2024-03-23,10,10,Music
2024-03-23,17,7,Sports
2024-03-23,19,1,Travel & Events
2024-03-23,20,18,Gaming
2024-03-23,22,9,People & Blogs
2024-03-23,23,2,Comedy
2024-03-23,24,29,Entertainment
2024-03-23,25,5,News & Politics
2024-03-23,26,1,Howto & Style
2024-03-23,27,4,Education
2024-03-23,28,3,Science & Technology
2024-03-24,1,2,Film & Animation
2024-03-24,2,4,Autos & Vehicles
2024-03-24,10,10,Music
2024-03-24,17,12,Sports
2024-03-24,19,2,Travel & Events
2024-03-24,20,14,Gaming
2024-03-24,22,11,People & Blogs
2024-03-24,23,3,Comedy
2024-03-24,24,27,Entertainment
2024-03-24,25,5,News & Politics
2024-03-24,26,2,Howto & Style
2024-03-24,27,5,Education
2024-03-24,28,3,Science & Technology
2024-03-25,1,2,Film & Animation
2024-03-25,2,3,Autos & Vehicles
2024-03-25,10,11,Music
2024-03-25,17,16,Sports
2024-03-25,19,1,Travel & Events
2024-03-25,20,11,Gaming
2024-03-25,22,14,People & Blogs
2024-03-25,23,3,Comedy
2024-03-25,24,27,Entertainment
2024-03-25,25,4,News & Politics
2024-03-25,26,4,Howto & Style
2024-03-25,27,3,Education
2024-03-25,28,1,Science & Technology
2024-03-26,1,1,Film & Animation
2024-03-26,2,3,Autos & Vehicles
2024-03-26,10,11,Music
2024-03-26,17,16,Sports
2024-03-26,19,1,Travel & Events
2024-03-26,20,8,Gaming
2024-03-26,22,12,People & Blogs
2024-03-26,23,5,Comedy
2024-03-26,24,29,Entertainment
2024-03-26,25,3,News & Politics
2024-03-26,26,4,Howto & Style
2024-03-26,27,5,Education
2024-03-26,28,2,Science & Technology
