Execution Date,Category ID,Quantity,Category Title
2024-03-09,1,4,Film & Animation
2024-03-09,2,1,Autos & Vehicles
2024-03-09,10,18,Music
2024-03-09,15,1,Pets & Animals
2024-03-09,17,18,Sports
2024-03-09,20,8,Gaming
2024-03-09,22,9,People & Blogs
2024-03-09,23,4,Comedy
2024-03-09,24,25,Entertainment
2024-03-09,25,3,News & Politics
2024-03-09,26,6,Howto & Style
2024-03-09,28,3,Science & Technology
2024-03-10,1,4,Film & Animation
2024-03-10,2,1,Autos & Vehicles
2024-03-10,10,17,Music
2024-03-10,15,1,Pets & Animals
2024-03-10,17,15,Sports
2024-03-10,20,7,Gaming
2024-03-10,22,9,People & Blogs
2024-03-10,23,4,Comedy
2024-03-10,24,28,Entertainment
2024-03-10,25,3,News & Politics
2024-03-10,26,6,Howto & Style
2024-03-10,27,2,Education
2024-03-10,28,3,Science & Technology
2024-03-11,1,2,Film & Animation
2024-03-11,10,19,Music
2024-03-11,15,1,Pets & Animals
2024-03-11,17,16,Sports
2024-03-11,20,9,Gaming
2024-03-11,22,8,People & Blogs
2024-03-11,23,5,Comedy
2024-03-11,24,27,Entertainment
2024-03-11,25,3,News & Politics
2024-03-11,26,6,Howto & Style
2024-03-11,27,2,Education
2024-03-11,28,2,Science & Technology
2024-03-12,1,2,Film & Animation
2024-03-12,10,19,Music
2024-03-12,15,2,Pets & Animals
2024-03-12,17,15,Sports
2024-03-12,20,8,Gaming
2024-03-12,22,8,People & Blogs
2024-03-12,23,9,Comedy
2024-03-12,24,22,Entertainment
2024-03-12,25,3,News & Politics
2024-03-12,26,8,Howto & Style
2024-03-12,27,2,Education
2024-03-12,28,2,Science & Technology
2024-03-13,1,2,Film & Animation
2024-03-13,10,13,Music
2024-03-13,15,2,Pets & Animals
2024-03-13,17,15,Sports
2024-03-13,19,1,Travel & Events
2024-03-13,20,6,Gaming
2024-03-13,22,11,People & Blogs
2024-03-13,23,11,Comedy
2024-03-13,24,25,Entertainment
2024-03-13,25,3,News & Politics
2024-03-13,26,8,Howto & Style
2024-03-13,27,2,Education
2024-03-13,28,1,Science & Technology
2024-03-14,1,1,Film & Animation
2024-03-14,10,12,Music
2024-03-14,15,2,Pets & Animals
2024-03-14,17,24,Sports
2024-03-14,19,1,Travel & Events
2024-03-14,20,4,Gaming
2024-03-14,22,8,People & Blogs
2024-03-14,23,8,Comedy
2024-03-14,24,26,Entertainment
2024-03-14,25,3,News & Politics
2024-03-14,26,10,Howto & Style
2024-03-14,28,1,Science & Technology
