Execution Date,Category ID,Quantity,Category Title
2024-03-09,1,2,Film & Animation
2024-03-09,2,2,Autos & Vehicles
2024-03-09,10,13,Music
2024-03-09,17,24,Sports
2024-03-09,19,1,Travel & Events
2024-03-09,20,18,Gaming
2024-03-09,22,5,People & Blogs
2024-03-09,23,5,Comedy
2024-03-09,24,18,Entertainment
2024-03-09,25,3,News & Politics
2024-03-09,26,6,Howto & Style
2024-03-09,27,3,Education
2024-03-10,1,2,Film & Animation
2024-03-10,2,1,Autos & Vehicles
2024-03-10,10,16,Music
2024-03-10,17,22,Sports
2024-03-10,19,1,Travel & Events
2024-03-10,20,19,Gaming
2024-03-10,22,5,People & Blogs
2024-03-10,23,3,Comedy
2024-03-10,24,17,Entertainment
2024-03-10,25,6,News & Politics
2024-03-10,26,5,Howto & Style
2024-03-10,27,3,Education
2024-03-11,1,2,Film & Animation
2024-03-11,10,14,Music
2024-03-11,17,22,Sports
2024-03-11,19,1,Travel & Events
2024-03-11,20,18,Gaming
2024-03-11,22,6,People & Blogs
2024-03-11,23,8,Comedy
2024-03-11,24,17,Entertainment
2024-03-11,25,6,News & Politics
2024-03-11,26,4,Howto & Style
2024-03-11,27,1,Education
2024-03-11,28,1,Science & Technology
2024-03-12,1,2,Film & Animation
2024-03-12,2,1,Autos & Vehicles
2024-03-12,10,9,Music
2024-03-12,17,21,Sports
2024-03-12,20,16,Gaming
2024-03-12,22,11,People & Blogs
2024-03-12,23,7,Comedy
2024-03-12,24,24,Entertainment
2024-03-12,25,5,News & Politics
2024-03-12,26,2,Howto & Style
2024-03-12,28,2,Science & Technology
2024-03-13,1,2,Film & Animation
2024-03-13,2,3,Autos & Vehicles
2024-03-13,10,7,Music
2024-03-13,17,18,Sports
2024-03-13,20,13,Gaming
2024-03-13,22,11,People & Blogs
2024-03-13,23,6,Comedy
2024-03-13,24,29,Entertainment
2024-03-13,25,4,News & Politics
2024-03-13,26,2,Howto & Style
2024-03-13,28,5,Science & Technology
2024-03-14,1,3,Film & Animation
2024-03-14,2,3,Autos & Vehicles
2024-03-14,10,8,Music
2024-03-14,17,14,Sports
2024-03-14,19,1,Travel & Events
2024-03-14,20,13,Gaming
2024-03-14,22,8,People & Blogs
2024-03-14,23,6,Comedy
2024-03-14,24,30,Entertainment
2024-03-14,25,5,News & Politics
2024-03-14,26,2,Howto & Style
