Execution Date,Category ID,Quantity,Category Title
2024-03-06,1,1,Film & Animation
2024-03-06,2,4,Autos & Vehicles
2024-03-06,10,12,Music
2024-03-06,17,21,Sports
2024-03-06,19,3,Travel & Events
2024-03-06,20,18,Gaming
2024-03-06,22,9,People & Blogs
2024-03-06,23,4,Comedy
2024-03-06,24,23,Entertainment
2024-03-06,26,1,Howto & Style
2024-03-06,27,1,Education
2024-03-06,28,3,Science & Technology
2024-03-07,1,2,Film & Animation
2024-03-07,2,3,Autos & Vehicles
2024-03-07,10,9,Music
2024-03-07,17,22,Sports
2024-03-07,19,3,Travel & Events
2024-03-07,20,17,Gaming
2024-03-07,22,9,People & Blogs
2024-03-07,23,3,Comedy
2024-03-07,24,23,Entertainment
2024-03-07,26,2,Howto & Style
2024-03-07,27,4,Education
2024-03-07,28,3,Science & Technology
2024-03-08,1,4,Film & Animation
2024-03-08,2,4,Autos & Vehicles
2024-03-08,10,13,Music
2024-03-08,17,18,Sports
2024-03-08,19,1,Travel & Events
2024-03-08,20,16,Gaming
2024-03-08,22,8,People & Blogs
2024-03-08,23,3,Comedy
2024-03-08,24,20,Entertainment
2024-03-08,25,2,News & Politics
2024-03-08,26,4,Howto & Style
2024-03-08,27,4,Education
2024-03-08,28,3,Science & Technology
2024-03-09,1,5,Film & Animation
2024-03-09,2,4,Autos & Vehicles
2024-03-09,10,12,Music
2024-03-09,17,21,Sports
2024-03-09,20,19,Gaming
2024-03-09,22,6,People & Blogs
2024-03-09,23,2,Comedy
2024-03-09,24,17,Entertainment
2024-03-09,25,4,News & Politics
2024-03-09,26,3,Howto & Style
2024-03-09,27,4,Education
2024-03-09,28,3,Science & Technology
2024-03-10,1,5,Film & Animation
2024-03-10,2,4,Autos & Vehicles
2024-03-10,10,13,Music
2024-03-10,17,21,Sports
2024-03-10,20,19,Gaming
2024-03-10,22,5,People & Blogs
2024-03-10,23,4,Comedy
2024-03-10,24,15,Entertainment
2024-03-10,25,4,News & Politics
2024-03-10,26,4,Howto & Style
2024-03-10,27,4,Education
2024-03-10,28,2,Science & Technology
2024-03-11,1,6,Film & Animation
2024-03-11,2,3,Autos & Vehicles
2024-03-11,10,11,Music
2024-03-11,17,26,Sports
2024-03-11,20,14,Gaming
2024-03-11,22,6,People & Blogs
2024-03-11,23,7,Comedy
2024-03-11,24,16,Entertainment
2024-03-11,25,6,News & Politics
2024-03-11,26,4,Howto & Style
2024-03-11,27,1,Education
2024-03-12,1,5,Film & Animation
2024-03-12,2,3,Autos & Vehicles
2024-03-12,10,6,Music
2024-03-12,17,26,Sports
2024-03-12,19,1,Travel & Events
2024-03-12,20,18,Gaming
2024-03-12,22,8,People & Blogs
2024-03-12,23,6,Comedy
2024-03-12,24,18,Entertainment
2024-03-12,25,4,News & Politics
2024-03-12,26,3,Howto & Style
2024-03-12,27,1,Education
2024-03-12,28,1,Science & Technology
2024-03-13,1,3,Film & Animation
2024-03-13,2,2,Autos & Vehicles
2024-03-13,10,8,Music
2024-03-13,17,23,Sports
2024-03-13,19,1,Travel & Events
2024-03-13,20,20,Gaming
2024-03-13,22,10,People & Blogs
2024-03-13,23,5,Comedy
2024-03-13,24,18,Entertainment
2024-03-13,25,4,News & Politics
2024-03-13,26,2,Howto & Style
2024-03-13,27,1,Education
2024-03-13,28,3,Science & Technology
2024-03-14,1,1,Film & Animation
2024-03-14,2,3,Autos & Vehicles
2024-03-14,10,10,Music
2024-03-14,17,21,Sports
2024-03-14,19,2,Travel & Events
2024-03-14,20,21,Gaming
2024-03-14,22,8,People & Blogs
2024-03-14,23,4,Comedy
2024-03-14,24,20,Entertainment
2024-03-14,25,5,News & Politics
2024-03-14,26,1,Howto & Style
2024-03-14,27,1,Education
2024-03-14,28,3,Science & Technology
