Execution Date,Category ID,Quantity,Category Title
2024-03-09,1,3,Film & Animation
2024-03-09,2,1,Autos & Vehicles
2024-03-09,10,16,Music
2024-03-09,15,1,Pets & Animals
2024-03-09,17,7,Sports
2024-03-09,19,3,Travel & Events
2024-03-09,20,7,Gaming
2024-03-09,22,16,People & Blogs
2024-03-09,23,14,Comedy
2024-03-09,24,22,Entertainment
2024-03-09,25,4,News & Politics
2024-03-09,26,5,Howto & Style
2024-03-09,27,1,Education
2024-03-10,1,3,Film & Animation
2024-03-10,10,17,Music
2024-03-10,15,1,Pets & Animals
2024-03-10,17,7,Sports
2024-03-10,19,3,Travel & Events
2024-03-10,20,6,Gaming
2024-03-10,22,15,People & Blogs
2024-03-10,23,14,Comedy
2024-03-10,24,23,Entertainment
2024-03-10,25,3,News & Politics
2024-03-10,26,7,Howto & Style
2024-03-10,27,1,Education
2024-03-11,1,3,Film & Animation
2024-03-11,2,1,Autos & Vehicles
2024-03-11,10,15,Music
2024-03-11,15,1,Pets & Animals
2024-03-11,17,8,Sports
2024-03-11,19,3,Travel & Events
2024-03-11,20,5,Gaming
2024-03-11,22,16,People & Blogs
2024-03-11,23,12,Comedy
2024-03-11,24,22,Entertainment
2024-03-11,25,4,News & Politics
2024-03-11,26,8,Howto & Style
2024-03-11,27,2,Education
2024-03-12,1,2,Film & Animation
2024-03-12,10,16,Music
2024-03-12,15,1,Pets & Animals
2024-03-12,17,8,Sports
2024-03-12,19,3,Travel & Events
2024-03-12,20,5,Gaming
2024-03-12,22,17,People & Blogs
2024-03-12,23,12,Comedy
2024-03-12,24,23,Entertainment
2024-03-12,25,4,News & Politics
2024-03-12,26,8,Howto & Style
2024-03-12,27,1,Education
2024-03-13,1,2,Film & Animation
2024-03-13,10,17,Music
2024-03-13,15,1,Pets & Animals
2024-03-13,17,9,Sports
2024-03-13,19,2,Travel & Events
2024-03-13,20,5,Gaming
2024-03-13,22,16,People & Blogs
2024-03-13,23,11,Comedy
2024-03-13,24,25,Entertainment
2024-03-13,25,4,News & Politics
2024-03-13,26,7,Howto & Style
2024-03-13,27,1,Education
2024-03-14,1,2,Film & Animation
2024-03-14,10,17,Music
2024-03-14,15,1,Pets & Animals
2024-03-14,17,10,Sports
2024-03-14,19,2,Travel & Events
2024-03-14,20,5,Gaming
2024-03-14,22,16,People & Blogs
2024-03-14,23,10,Comedy
2024-03-14,24,24,Entertainment
2024-03-14,25,6,News & Politics
2024-03-14,26,6,Howto & Style
2024-03-14,27,1,Education
