Execution Date,Category ID,Quantity,Category Title
2024-03-06,1,3,Film & Animation
2024-03-06,10,10,Music
2024-03-06,17,1,Sports
2024-03-06,19,1,Travel & Events
2024-03-06,20,6,Gaming
2024-03-06,22,14,People & Blogs
2024-03-06,23,7,Comedy
2024-03-06,24,38,Entertainment
2024-03-06,25,5,News & Politics
2024-03-06,26,3,Howto & Style
2024-03-06,27,5,Education
2024-03-06,28,7,Science & Technology
2024-03-07,1,3,Film & Animation
2024-03-07,2,1,Autos & Vehicles
2024-03-07,10,12,Music
2024-03-07,17,2,Sports
2024-03-07,19,2,Travel & Events
2024-03-07,20,3,Gaming
2024-03-07,22,15,People & Blogs
2024-03-07,23,7,Comedy
2024-03-07,24,39,Entertainment
2024-03-07,25,3,News & Politics
2024-03-07,26,2,Howto & Style
2024-03-07,27,5,Education
2024-03-07,28,6,Science & Technology
2024-03-08,1,6,Film & Animation
2024-03-08,2,1,Autos & Vehicles
2024-03-08,10,14,Music
2024-03-08,19,1,Travel & Events
2024-03-08,20,2,Gaming
2024-03-08,22,15,People & Blogs
2024-03-08,23,3,Comedy
2024-03-08,24,43,Entertainment
2024-03-08,25,3,News & Politics
2024-03-08,26,4,Howto & Style
2024-03-08,28,8,Science & Technology
2024-03-09,1,4,Film & Animation
2024-03-09,2,1,Autos & Vehicles
2024-03-09,10,13,Music
2024-03-09,17,3,Sports
2024-03-09,20,4,Gaming
2024-03-09,22,14,People & Blogs
2024-03-09,23,5,Comedy
2024-03-09,24,46,Entertainment
2024-03-09,25,1,News & Politics
2024-03-09,26,3,Howto & Style
2024-03-09,27,1,Education
2024-03-09,28,5,Science & Technology
2024-03-10,1,3,Film & Animation
2024-03-10,2,1,Autos & Vehicles
2024-03-10,10,13,Music
2024-03-10,17,3,Sports
2024-03-10,20,4,Gaming
2024-03-10,22,18,People & Blogs
2024-03-10,23,8,Comedy
2024-03-10,24,42,Entertainment
2024-03-10,25,1,News & Politics
2024-03-10,26,4,Howto & Style
2024-03-10,28,3,Science & Technology
2024-03-11,1,3,Film & Animation
2024-03-11,10,13,Music
2024-03-11,17,5,Sports
2024-03-11,20,3,Gaming
2024-03-11,22,19,People & Blogs
2024-03-11,23,5,Comedy
2024-03-11,24,41,Entertainment
2024-03-11,25,4,News & Politics
2024-03-11,26,4,Howto & Style
2024-03-11,27,2,Education
2024-03-11,28,1,Science & Technology
2024-03-12,1,4,Film & Animation
2024-03-12,10,7,Music
2024-03-12,17,3,Sports
2024-03-12,19,1,Travel & Events
2024-03-12,20,7,Gaming
2024-03-12,22,22,People & Blogs
2024-03-12,23,6,Comedy
2024-03-12,24,39,Entertainment
2024-03-12,25,3,News & Politics
2024-03-12,26,6,Howto & Style
2024-03-12,27,2,Education
2024-03-13,1,4,Film & Animation
2024-03-13,10,9,Music
2024-03-13,17,3,Sports
2024-03-13,19,1,Travel & Events
2024-03-13,20,5,Gaming
2024-03-13,22,22,People & Blogs
2024-03-13,23,7,Comedy
2024-03-13,24,36,Entertainment
2024-03-13,25,3,News & Politics
2024-03-13,26,8,Howto & Style
2024-03-13,27,2,Education
2024-03-14,1,4,Film & Animation
2024-03-14,10,8,Music
2024-03-14,17,4,Sports
2024-03-14,19,1,Travel & Events
2024-03-14,20,9,Gaming
2024-03-14,22,19,People & Blogs
2024-03-14,23,6,Comedy
2024-03-14,24,36,Entertainment
2024-03-14,25,3,News & Politics
2024-03-14,26,8,Howto & Style
2024-03-14,27,1,Education
2024-03-14,28,1,Science & Technology
2024-03-15,1,5,Film & Animation
2024-03-15,10,16,Music
2024-03-15,17,4,Sports
2024-03-15,19,2,Travel & Events
2024-03-15,20,10,Gaming
2024-03-15,22,16,People & Blogs
2024-03-15,23,2,Comedy
2024-03-15,24,38,Entertainment
2024-03-15,25,1,News & Politics
2024-03-15,26,3,Howto & Style
2024-03-15,27,1,Education
2024-03-15,28,2,Science & Technology
