Execution Date,Category ID,Quantity,Category Title
2024-03-09,1,6,Film & Animation
2024-03-09,10,6,Music
2024-03-09,17,20,Sports
2024-03-09,19,3,Travel & Events
2024-03-09,20,4,Gaming
2024-03-09,22,11,People & Blogs
2024-03-09,23,15,Comedy
2024-03-09,24,28,Entertainment
2024-03-09,25,2,News & Politics
2024-03-09,26,1,Howto & Style
2024-03-09,28,4,Science & Technology
2024-03-10,1,6,Film & Animation
2024-03-10,10,6,Music
2024-03-10,17,19,Sports
2024-03-10,19,3,Travel & Events
2024-03-10,20,4,Gaming
2024-03-10,22,12,People & Blogs
2024-03-10,23,15,Comedy
2024-03-10,24,28,Entertainment
2024-03-10,25,2,News & Politics
2024-03-10,26,1,Howto & Style
2024-03-10,28,4,Science & Technology
2024-03-11,1,5,Film & Animation
2024-03-11,10,4,Music
2024-03-11,17,18,Sports
2024-03-11,19,3,Travel & Events
2024-03-11,20,4,Gaming
2024-03-11,22,11,People & Blogs
2024-03-11,23,15,Comedy
2024-03-11,24,32,Entertainment
2024-03-11,25,2,News & Politics
2024-03-11,26,2,Howto & Style
2024-03-11,28,4,Science & Technology
2024-03-12,1,5,Film & Animation
2024-03-12,10,5,Music
2024-03-12,17,16,Sports
2024-03-12,19,3,Travel & Events
2024-03-12,20,4,Gaming
2024-03-12,22,12,People & Blogs
2024-03-12,23,16,Comedy
2024-03-12,24,32,Entertainment
2024-03-12,25,2,News & Politics
2024-03-12,26,2,Howto & Style
2024-03-12,28,3,Science & Technology
2024-03-13,1,5,Film & Animation
2024-03-13,10,6,Music
2024-03-13,17,14,Sports
2024-03-13,19,3,Travel & Events
2024-03-13,20,4,Gaming
2024-03-13,22,13,People & Blogs
2024-03-13,23,16,Comedy
2024-03-13,24,32,Entertainment
2024-03-13,25,2,News & Politics
2024-03-13,26,2,Howto & Style
2024-03-13,28,3,Science & Technology
2024-03-14,1,4,Film & Animation
2024-03-14,10,5,Music
2024-03-14,17,12,Sports
2024-03-14,19,3,Travel & Events
2024-03-14,20,4,Gaming
2024-03-14,22,14,People & Blogs
2024-03-14,23,16,Comedy
2024-03-14,24,35,Entertainment
2024-03-14,25,2,News & Politics
2024-03-14,26,2,Howto & Style
2024-03-14,28,3,Science & Technology
2024-03-15,1,4,Film & Animation
2024-03-15,10,4,Music
2024-03-15,17,14,Sports
2024-03-15,19,3,Travel & Events
2024-03-15,20,3,Gaming
2024-03-15,22,12,People & Blogs
2024-03-15,23,16,Comedy
2024-03-15,24,37,Entertainment
2024-03-15,25,2,News & Politics
2024-03-15,26,2,Howto & Style
2024-03-15,28,3,Science & Technology
2024-03-18,1,3,Film & Animation
2024-03-18,10,4,Music
2024-03-18,17,17,Sports
2024-03-18,19,3,Travel & Events
2024-03-18,20,1,Gaming
2024-03-18,22,13,People & Blogs
2024-03-18,23,16,Comedy
2024-03-18,24,36,Entertainment
2024-03-18,25,2,News & Politics
2024-03-18,26,2,Howto & Style
2024-03-18,28,3,Science & Technology
2024-03-19,1,3,Film & Animation
2024-03-19,10,3,Music
2024-03-19,17,16,Sports
2024-03-19,19,3,Travel & Events
2024-03-19,20,1,Gaming
2024-03-19,22,13,People & Blogs
2024-03-19,23,16,Comedy
2024-03-19,24,38,Entertainment
2024-03-19,25,2,News & Politics
2024-03-19,26,2,Howto & Style
2024-03-19,28,3,Science & Technology
2024-03-20,1,4,Film & Animation
2024-03-20,10,3,Music
2024-03-20,17,13,Sports
2024-03-20,19,3,Travel & Events
2024-03-20,20,1,Gaming
2024-03-20,22,14,People & Blogs
2024-03-20,23,16,Comedy
2024-03-20,24,39,Entertainment
2024-03-20,25,2,News & Politics
2024-03-20,26,2,Howto & Style
2024-03-20,28,3,Science & Technology
