Execution Date,Category ID,Quantity,Category Title
2024-03-09,1,1,Film & Animation
2024-03-09,10,13,Music
2024-03-09,17,10,Sports
2024-03-09,19,2,Travel & Events
2024-03-09,20,6,Gaming
2024-03-09,22,12,People & Blogs
2024-03-09,23,14,Comedy
2024-03-09,24,26,Entertainment
2024-03-09,25,2,News & Politics
2024-03-09,27,1,Education
2024-03-09,28,2,Science & Technology
2024-03-10,1,1,Film & Animation
2024-03-10,10,14,Music
2024-03-10,17,13,Sports
2024-03-10,19,2,Travel & Events
2024-03-10,20,7,Gaming
2024-03-10,22,14,People & Blogs
2024-03-10,23,16,Comedy
2024-03-10,24,22,Entertainment
2024-03-10,25,2,News & Politics
2024-03-10,27,1,Education
2024-03-10,28,2,Science & Technology
2024-03-11,1,2,Film & Animation
2024-03-11,10,13,Music
2024-03-11,17,13,Sports
2024-03-11,19,2,Travel & Events
2024-03-11,20,7,Gaming
2024-03-11,22,14,People & Blogs
2024-03-11,23,16,Comedy
2024-03-11,24,25,Entertainment
2024-03-11,25,2,News & Politics
2024-03-11,26,1,Howto & Style
2024-03-11,27,1,Education
2024-03-11,28,2,Science & Technology
2024-03-12,1,2,Film & Animation
2024-03-12,10,14,Music
2024-03-12,17,13,Sports
2024-03-12,19,2,Travel & Events
2024-03-12,20,6,Gaming
2024-03-12,22,14,People & Blogs
2024-03-12,23,15,Comedy
2024-03-12,24,26,Entertainment
2024-03-12,25,2,News & Politics
2024-03-12,26,2,Howto & Style
2024-03-12,27,1,Education
2024-03-12,28,2,Science & Technology
2024-03-13,1,2,Film & Animation
2024-03-13,10,15,Music
2024-03-13,17,13,Sports
2024-03-13,19,3,Travel & Events
2024-03-13,20,5,Gaming
2024-03-13,22,14,People & Blogs
2024-03-13,23,14,Comedy
2024-03-13,24,28,Entertainment
2024-03-13,25,2,News & Politics
2024-03-13,26,2,Howto & Style
2024-03-13,27,1,Education
2024-03-13,28,1,Science & Technology
2024-03-14,1,2,Film & Animation
2024-03-14,10,15,Music
2024-03-14,17,11,Sports
2024-03-14,19,3,Travel & Events
2024-03-14,20,5,Gaming
2024-03-14,22,15,People & Blogs
2024-03-14,23,13,Comedy
2024-03-14,24,29,Entertainment
2024-03-14,25,2,News & Politics
2024-03-14,26,2,Howto & Style
2024-03-14,27,3,Education
2024-03-15,1,2,Film & Animation
2024-03-15,10,15,Music
2024-03-15,17,11,Sports
2024-03-15,19,3,Travel & Events
2024-03-15,20,6,Gaming
2024-03-15,22,13,People & Blogs
2024-03-15,23,14,Comedy
2024-03-15,24,29,Entertainment
2024-03-15,25,2,News & Politics
2024-03-15,26,2,Howto & Style
2024-03-15,27,3,Education
2024-03-18,1,2,Film & Animation
2024-03-18,10,14,Music
2024-03-18,17,12,Sports
2024-03-18,19,3,Travel & Events
2024-03-18,20,5,Gaming
2024-03-18,22,13,People & Blogs
2024-03-18,23,15,Comedy
2024-03-18,24,28,Entertainment
2024-03-18,25,3,News & Politics
2024-03-18,26,2,Howto & Style
2024-03-18,27,3,Education
2024-03-19,1,2,Film & Animation
2024-03-19,10,13,Music
2024-03-19,17,12,Sports
2024-03-19,19,3,Travel & Events
2024-03-19,20,5,Gaming
2024-03-19,22,15,People & Blogs
2024-03-19,23,15,Comedy
2024-03-19,24,27,Entertainment
2024-03-19,25,3,News & Politics
2024-03-19,26,2,Howto & Style
2024-03-19,27,3,Education
2024-03-20,1,2,Film & Animation
2024-03-20,10,14,Music
2024-03-20,17,12,Sports
2024-03-20,19,3,Travel & Events
2024-03-20,20,6,Gaming
2024-03-20,22,15,People & Blogs
2024-03-20,23,14,Comedy
2024-03-20,24,25,Entertainment
2024-03-20,25,3,News & Politics
2024-03-20,26,3,Howto & Style
2024-03-20,27,3,Education
2024-03-21,1,2,Film & Animation
2024-03-21,10,14,Music
2024-03-21,17,14,Sports
2024-03-21,19,3,Travel & Events
2024-03-21,20,5,Gaming
2024-03-21,22,14,People & Blogs
2024-03-21,23,15,Comedy
2024-03-21,24,25,Entertainment
2024-03-21,25,3,News & Politics
2024-03-21,26,3,Howto & Style
2024-03-21,27,2,Education
