Execution Date,Category ID,Quantity,Category Title
2024-03-06,1,4,Film & Animation
2024-03-06,2,3,Autos & Vehicles
2024-03-06,10,10,Music
2024-03-06,17,15,Sports
2024-03-06,19,1,Travel & Events
2024-03-06,20,16,Gaming
2024-03-06,22,8,People & Blogs
2024-03-06,23,5,Comedy
2024-03-06,24,24,Entertainment
2024-03-06,25,3,News & Politics
2024-03-06,26,3,Howto & Style
2024-03-06,27,2,Education
2024-03-06,28,6,Science & Technology
2024-03-07,1,3,Film & Animation
2024-03-07,2,3,Autos & Vehicles
2024-03-07,10,6,Music
2024-03-07,17,13,Sports
2024-03-07,19,1,Travel & Events
2024-03-07,20,17,Gaming
2024-03-07,22,9,People & Blogs
2024-03-07,23,4,Comedy
2024-03-07,24,28,Entertainment
2024-03-07,25,6,News & Politics
2024-03-07,26,1,Howto & Style
2024-03-07,27,4,Education
2024-03-07,28,5,Science & Technology
2024-03-08,1,3,Film & Animation
2024-03-08,2,1,Autos & Vehicles
2024-03-08,10,9,Music
2024-03-08,17,11,Sports
2024-03-08,20,21,Gaming
2024-03-08,22,9,People & Blogs
2024-03-08,23,2,Comedy
2024-03-08,24,29,Entertainment
2024-03-08,25,5,News & Politics
2024-03-08,26,3,Howto & Style
2024-03-08,27,3,Education
2024-03-08,28,4,Science & Technology
2024-03-09,1,3,Film & Animation
2024-03-09,2,4,Autos & Vehicles
2024-03-09,10,16,Music
2024-03-09,17,13,Sports
2024-03-09,20,19,Gaming
2024-03-09,22,4,People & Blogs
2024-03-09,23,2,Comedy
2024-03-09,24,21,Entertainment
2024-03-09,25,7,News & Politics
2024-03-09,26,4,Howto & Style
2024-03-09,27,4,Education
2024-03-09,28,3,Science & Technology
2024-03-10,1,4,Film & Animation
2024-03-10,2,3,Autos & Vehicles
2024-03-10,10,16,Music
2024-03-10,17,12,Sports
2024-03-10,20,23,Gaming
2024-03-10,22,4,People & Blogs
2024-03-10,23,3,Comedy
2024-03-10,24,18,Entertainment
2024-03-10,25,6,News & Politics
2024-03-10,26,5,Howto & Style
2024-03-10,27,4,Education
2024-03-10,28,2,Science & Technology
2024-03-11,1,5,Film & Animation
2024-03-11,2,2,Autos & Vehicles
2024-03-11,10,19,Music
2024-03-11,17,16,Sports
2024-03-11,20,18,Gaming
2024-03-11,22,5,People & Blogs
2024-03-11,23,6,Comedy
2024-03-11,24,13,Entertainment
2024-03-11,25,5,News & Politics
2024-03-11,26,7,Howto & Style
2024-03-11,27,3,Education
2024-03-11,28,1,Science & Technology
2024-03-12,1,4,Film & Animation
2024-03-12,2,2,Autos & Vehicles
2024-03-12,10,16,Music
2024-03-12,17,16,Sports
2024-03-12,20,19,Gaming
2024-03-12,22,8,People & Blogs
