Day,Count,Average per Video,Relative Probability (%)
1,78165,2791.6071428571427,42.211193675206296
2,15855,566.25,8.562124681384198
3,11779,420.67857142857144,6.360975504385019
4,9687,345.9642857142857,5.2312394694776865
5,7419,264.9642857142857,4.00645872035253
6,5768,206.0,3.11487449777509
7,4251,151.82142857142858,2.295653864431676
8,3054,109.07142857142857,1.6492418023933988
9,2422,86.5,1.3079448740657538
10,1999,71.39285714285714,1.079513543871776
11,1755,62.67857142857143,0.9477470082516095
12,1615,57.67857142857143,0.872143258305612
13,1484,53.0,0.8013997494275718
14,1446,51.642857142857146,0.7808787315850867
15,1371,48.964285714285715,0.7403767226854453
16,1257,44.892857142857146,0.6788136691579904
17,1189,42.464285714285715,0.6420918477556488
18,1121,40.035714285714285,0.6053700263533072
19,976,34.857142857142854,0.527066142480667
20,1070,38.214285714285715,0.577828660301551
21,1083,38.67857142857143,0.5848490085108222
22,795,28.392857142857142,0.42932129433619914
23,719,25.678571428571427,0.38827925865122914
24,755,26.964285714285715,0.40772022292305704
25,751,26.821428571428573,0.40556011578174284
26,725,25.892857142857142,0.3915194193632005
27,686,24.5,0.37045837473538695
28,645,23.035714285714285,0.34831727653691624
29,715,25.535714285714285,0.3861191515099149
30,690,24.642857142857142,0.3726184818767011
31,603,21.535714285714285,0.32563615155311704
32,613,21.892857142857142,0.3310364194064026
33,444,15.857142857142858,0.23977189268587726
34,502,17.928571428571427,0.27109344623493326
35,500,17.857142857142858,0.2700133926642762
36,416,14.857142857142858,0.2246511426966778
37,382,13.642857142857142,0.206290231995507
38,411,14.678571428571429,0.221951008770035
39,307,10.964285714285714,0.16578822309586558
40,377,13.464285714285714,0.20359009806886424
41,371,13.25,0.20034993735689294
42,362,12.928571428571429,0.19548969628893598
43,289,10.321428571428571,0.15606774095995163
44,277,9.892857142857142,0.149587419536009
45,239,8.535714285714286,0.12906640169352404
46,227,8.107142857142858,0.1225860802695814
47,226,8.071428571428571,0.12204605348425283
48,182,6.5,0.09828487492979654
49,216,7.714285714285714,0.11664578563096732
50,221,7.892857142857143,0.11934591955761006
51,236,8.428571428571429,0.12744632133753836
52,181,6.464285714285714,0.09774484814446799
53,255,9.107142857142858,0.13770683025878086
54,221,7.892857142857143,0.11934591955761006
55,205,7.321428571428571,0.11070549099235323
56,244,8.714285714285714,0.13176653562016674
57,231,8.25,0.12474618741089559
58,188,6.714285714285714,0.10152503564176785
59,186,6.642857142857143,0.10044498207111074
60,173,6.178571428571429,0.09342463386183956
61,168,6.0,0.0907244999351968
62,140,5.0,0.07560374994599732
63,140,5.0,0.07560374994599732
64,159,5.678571428571429,0.08586425886723983
65,170,6.071428571428571,0.0918045535058539
66,155,5.535714285714286,0.08370415172592562
67,198,7.071428571428571,0.10692530349505336
68,145,5.178571428571429,0.07830388387264009
69,172,6.142857142857143,0.09288460707651101
70,121,4.321428571428571,0.06534324102475483
71,148,5.285714285714286,0.07992396422862574
72,119,4.25,0.06426318745409773
73,125,4.464285714285714,0.06750334816606905
74,116,4.142857142857143,0.06264310709811208
75,141,5.035714285714286,0.07614377673132589
76,97,3.4642857142857144,0.052382598176869584
77,100,3.5714285714285716,0.05400267853285524
78,79,2.8214285714285716,0.042662116040955635
79,92,3.2857142857142856,0.049682464250226814
80,72,2.5714285714285716,0.038881928543655776
81,80,2.857142857142857,0.04320214282628419
82,74,2.642857142857143,0.03996198211431287
83,84,3.0,0.0453622499675984
84,53,1.8928571428571428,0.028621419622413272
85,102,3.642857142857143,0.05508273210351235
86,89,3.1785714285714284,0.04806238389424116
87,64,2.2857142857142856,0.034561714261027346
88,43,1.5357142857142858,0.023221151769127753
89,73,2.607142857142857,0.03942195532898432
90,57,2.0357142857142856,0.030781526763727484
91,78,2.7857142857142856,0.04212208925562708
92,39,1.3928571428571428,0.02106104462781354
93,43,1.5357142857142858,0.023221151769127753
94,67,2.392857142857143,0.036181794617013006
95,88,3.142857142857143,0.04752235710891261
96,53,1.8928571428571428,0.028621419622413272
97,52,1.8571428571428572,0.028081392837084725
98,88,3.142857142857143,0.04752235710891261
99,30,1.0714285714285714,0.01620080355985657
100,79,2.8214285714285716,0.042662116040955635
101,44,1.5714285714285714,0.023761178554456305
102,35,1.25,0.01890093748649933
103,44,1.5714285714285714,0.023761178554456305
104,49,1.75,0.026461312481099068
105,47,1.6785714285714286,0.02538125891044196
106,64,2.2857142857142856,0.034561714261027346
107,48,1.7142857142857142,0.025921285695770513
108,52,1.8571428571428572,0.028081392837084725
109,55,1.9642857142857142,0.029701473193070378
110,58,2.0714285714285716,0.03132155354905604
111,75,2.6785714285714284,0.04050200889964142
112,55,1.9642857142857142,0.029701473193070378
113,64,2.2857142857142856,0.034561714261027346
114,52,1.8571428571428572,0.028081392837084725
115,97,3.4642857142857144,0.052382598176869584
116,70,2.5,0.03780187497299866
117,91,3.25,0.04914243746489827
118,67,2.392857142857143,0.036181794617013006
119,58,2.0714285714285716,0.03132155354905604
120,55,1.9642857142857142,0.029701473193070378
121,92,3.2857142857142856,0.049682464250226814
122,61,2.1785714285714284,0.032941633905041685
123,121,4.321428571428571,0.06534324102475483
124,65,2.3214285714285716,0.035101741046355904
125,61,2.1785714285714284,0.032941633905041685
126,106,3.7857142857142856,0.057242839244826545
127,84,3.0,0.0453622499675984
128,64,2.2857142857142856,0.034561714261027346
129,118,4.214285714285714,0.06372316066876918
130,90,3.2142857142857144,0.04860241067956971
131,98,3.5,0.052922624962198135
132,90,3.2142857142857144,0.04860241067956971
133,91,3.25,0.04914243746489827
134,67,2.392857142857143,0.036181794617013006
135,69,2.4642857142857144,0.037261848187670116
136,81,2.892857142857143,0.043742169611612744
137,64,2.2857142857142856,0.034561714261027346
138,89,3.1785714285714284,0.04806238389424116
139,89,3.1785714285714284,0.04806238389424116
140,91,3.25,0.04914243746489827
141,58,2.0714285714285716,0.03132155354905604
142,86,3.0714285714285716,0.04644230353825551
143,63,2.25,0.0340216874756988
144,60,2.142857142857143,0.03240160711971314
145,82,2.9285714285714284,0.04428219639694129
146,97,3.4642857142857144,0.052382598176869584
147,61,2.1785714285714284,0.032941633905041685
148,72,2.5714285714285716,0.038881928543655776
149,66,2.357142857142857,0.035641767831684455
150,59,2.107142857142857,0.03186158033438459
151,57,2.0357142857142856,0.030781526763727484
152,46,1.6428571428571428,0.024841232125113407
153,50,1.7857142857142858,0.02700133926642762
154,44,1.5714285714285714,0.023761178554456305
155,82,2.9285714285714284,0.04428219639694129
156,84,3.0,0.0453622499675984
157,76,2.7142857142857144,0.04104203568496998
158,79,2.8214285714285716,0.042662116040955635
159,77,2.75,0.04158206247029853
160,82,2.9285714285714284,0.04428219639694129
161,82,2.9285714285714284,0.04428219639694129
162,89,3.1785714285714284,0.04806238389424116
163,78,2.7857142857142856,0.04212208925562708
164,100,3.5714285714285716,0.05400267853285524
165,79,2.8214285714285716,0.042662116040955635
166,61,2.1785714285714284,0.032941633905041685
167,41,1.4642857142857142,0.022141098198470644
168,55,1.9642857142857142,0.029701473193070378
169,37,1.3214285714285714,0.019980991057156436
170,34,1.2142857142857142,0.01836091070117078
171,23,0.8214285714285714,0.012420616062556704
172,24,0.8571428571428571,0.012960642847885256
173,21,0.75,0.0113405624918996
174,36,1.2857142857142858,0.019440964271827888
175,43,1.5357142857142858,0.023221151769127753
176,31,1.1071428571428572,0.016740830345185122
177,29,1.0357142857142858,0.01566077677452802
178,54,1.9285714285714286,0.02916144640774183
179,43,1.5357142857142858,0.023221151769127753
180,42,1.5,0.0226811249837992
181,50,1.7857142857142858,0.02700133926642762
182,60,2.142857142857143,0.03240160711971314
183,42,1.5,0.0226811249837992
184,25,0.8928571428571429,0.01350066963321381
185,23,0.8214285714285714,0.012420616062556704
186,35,1.25,0.01890093748649933
187,33,1.1785714285714286,0.017820883915842228
188,25,0.8928571428571429,0.01350066963321381
189,23,0.8214285714285714,0.012420616062556704
190,23,0.8214285714285714,0.012420616062556704
191,38,1.3571428571428572,0.02052101784248499
192,23,0.8214285714285714,0.012420616062556704
193,54,1.9285714285714286,0.02916144640774183
194,45,1.6071428571428572,0.024301205339784856
195,46,1.6428571428571428,0.024841232125113407
196,45,1.6071428571428572,0.024301205339784856
197,34,1.2142857142857142,0.01836091070117078
198,63,2.25,0.0340216874756988
199,36,1.2857142857142858,0.019440964271827888
200,28,1.0,0.015120749989199465
201,31,1.1071428571428572,0.016740830345185122
202,29,1.0357142857142858,0.01566077677452802
203,45,1.6071428571428572,0.024301205339784856
204,30,1.0714285714285714,0.01620080355985657
205,37,1.3214285714285714,0.019980991057156436
206,44,1.5714285714285714,0.023761178554456305
207,31,1.1071428571428572,0.016740830345185122
208,44,1.5714285714285714,0.023761178554456305
209,42,1.5,0.0226811249837992
210,34,1.2142857142857142,0.01836091070117078
211,80,2.857142857142857,0.04320214282628419
212,54,1.9285714285714286,0.02916144640774183
213,36,1.2857142857142858,0.019440964271827888
214,41,1.4642857142857142,0.022141098198470644
215,33,1.1785714285714286,0.017820883915842228
216,34,1.2142857142857142,0.01836091070117078
217,31,1.1071428571428572,0.016740830345185122
218,27,0.9642857142857143,0.014580723203870915
219,34,1.2142857142857142,0.01836091070117078
220,31,1.1071428571428572,0.016740830345185122
221,32,1.1428571428571428,0.017280857130513673
222,39,1.3928571428571428,0.02106104462781354
223,35,1.25,0.01890093748649933
224,21,0.75,0.0113405624918996
225,14,0.5,0.007560374994599732
226,30,1.0714285714285714,0.01620080355985657
227,38,1.3571428571428572,0.02052101784248499
228,29,1.0357142857142858,0.01566077677452802
229,36,1.2857142857142858,0.019440964271827888
230,26,0.9285714285714286,0.014040696418542362
231,28,1.0,0.015120749989199465
232,34,1.2142857142857142,0.01836091070117078
233,49,1.75,0.026461312481099068
234,31,1.1071428571428572,0.016740830345185122
235,43,1.5357142857142858,0.023221151769127753
236,29,1.0357142857142858,0.01566077677452802
237,33,1.1785714285714286,0.017820883915842228
238,57,2.0357142857142856,0.030781526763727484
239,47,1.6785714285714286,0.02538125891044196
240,33,1.1785714285714286,0.017820883915842228
241,24,0.8571428571428571,0.012960642847885256
242,21,0.75,0.0113405624918996
243,25,0.8928571428571429,0.01350066963321381
244,25,0.8928571428571429,0.01350066963321381
245,20,0.7142857142857143,0.010800535706571048
246,37,1.3214285714285714,0.019980991057156436
247,24,0.8571428571428571,0.012960642847885256
248,29,1.0357142857142858,0.01566077677452802
249,36,1.2857142857142858,0.019440964271827888
250,8,0.2857142857142857,0.004320214282628418
251,23,0.8214285714285714,0.012420616062556704
252,29,1.0357142857142858,0.01566077677452802
253,20,0.7142857142857143,0.010800535706571048
254,13,0.4642857142857143,0.007020348209271181
255,31,1.1071428571428572,0.016740830345185122
256,18,0.6428571428571429,0.009720482135913944
257,21,0.75,0.0113405624918996
258,27,0.9642857142857143,0.014580723203870915
259,16,0.5714285714285714,0.008640428565256836
260,16,0.5714285714285714,0.008640428565256836
261,27,0.9642857142857143,0.014580723203870915
262,22,0.7857142857142857,0.011880589277228152
263,21,0.75,0.0113405624918996
264,36,1.2857142857142858,0.019440964271827888
265,23,0.8214285714285714,0.012420616062556704
266,20,0.7142857142857143,0.010800535706571048
267,23,0.8214285714285714,0.012420616062556704
268,32,1.1428571428571428,0.017280857130513673
269,13,0.4642857142857143,0.007020348209271181
270,56,2.0,0.03024149997839893
271,16,0.5714285714285714,0.008640428565256836
272,11,0.39285714285714285,0.005940294638614076
273,15,0.5357142857142857,0.008100401779928285
274,12,0.42857142857142855,0.006480321423942628
275,31,1.1071428571428572,0.016740830345185122
276,6,0.21428571428571427,0.003240160711971314
277,18,0.6428571428571429,0.009720482135913944
278,19,0.6785714285714286,0.010260508921242495
279,8,0.2857142857142857,0.004320214282628418
280,10,0.35714285714285715,0.005400267853285524
281,11,0.39285714285714285,0.005940294638614076
282,9,0.32142857142857145,0.004860241067956972
283,23,0.8214285714285714,0.012420616062556704
284,10,0.35714285714285715,0.005400267853285524
285,23,0.8214285714285714,0.012420616062556704
286,23,0.8214285714285714,0.012420616062556704
287,19,0.6785714285714286,0.010260508921242495
288,20,0.7142857142857143,0.010800535706571048
289,22,0.7857142857142857,0.011880589277228152
290,21,0.75,0.0113405624918996
291,19,0.6785714285714286,0.010260508921242495
292,21,0.75,0.0113405624918996
293,14,0.5,0.007560374994599732
294,15,0.5357142857142857,0.008100401779928285
295,31,1.1071428571428572,0.016740830345185122
296,22,0.7857142857142857,0.011880589277228152
297,19,0.6785714285714286,0.010260508921242495
