Day,Hour,Count,Average per Video,Relative Probability
0,0,2351,391.8333333333333,0.09425868013791996
0,1,1354,225.66666666666666,0.054285943388661696
0,2,1174,195.66666666666666,0.04706920054526501
0,3,949,158.16666666666666,0.038048271991019164
0,4,822,137.0,0.03295645898484484
0,5,759,126.5,0.030430598989656003
0,6,696,116.0,0.027904738994467163
0,7,581,96.83333333333333,0.023294042177852615
0,8,485,80.83333333333333,0.019445112661374386
0,9,461,76.83333333333333,0.01848288028225483
0,10,404,67.33333333333333,0.016197578381845882
0,11,358,59.666666666666664,0.014353299655200064
0,12,319,53.166666666666664,0.012789672039130782
0,13,326,54.333333333333336,0.013070323149707321
0,14,278,46.333333333333336,0.011145858391468207
0,15,261,43.5,0.010464277122925187
0,16,232,38.666666666666664,0.009301579664822387
0,17,240,40.0,0.009622323791195573
0,18,194,32.333333333333336,0.007778045064549756
0,19,191,31.833333333333332,0.007657766017159811
0,20,219,36.5,0.008780370459465961
0,21,206,34.333333333333336,0.008259161254109535
0,22,181,30.166666666666668,0.007256835859193329
0,23,170,28.333333333333332,0.006815812685430198
1,0,159,26.5,0.006374789511667068
1,1,164,27.333333333333332,0.006575254590650308
1,2,159,26.5,0.006374789511667068
1,3,161,26.833333333333332,0.006454975543260364
1,4,185,30.833333333333332,0.007417207922379921
1,5,178,29.666666666666668,0.0071365568118033846
1,6,156,26.0,0.006254510464277123
1,7,149,24.833333333333332,0.005973859353700585
1,8,162,27.0,0.006495068559057012
1,9,127,21.166666666666668,0.005091813006174325
1,10,115,19.166666666666668,0.004610696816614546
1,11,119,19.833333333333332,0.004771068879801138
1,12,112,18.666666666666668,0.004490417769224602
1,13,109,18.166666666666668,0.004370138721834656
1,14,85,14.166666666666666,0.003407906342715099
1,15,115,19.166666666666668,0.004610696816614546
1,16,93,15.5,0.0037286504690882847
1,17,98,16.333333333333332,0.003929115548071526
1,18,101,16.833333333333332,0.0040493945954614705
1,19,77,12.833333333333334,0.003087162216341913
1,20,110,18.333333333333332,0.004410231737631305
1,21,100,16.666666666666668,0.004009301579664823
1,22,109,18.166666666666668,0.004370138721834656
1,23,98,16.333333333333332,0.003929115548071526
2,0,119,19.833333333333332,0.004771068879801138
2,1,98,16.333333333333332,0.003929115548071526
2,2,115,19.166666666666668,0.004610696816614546
2,3,114,19.0,0.004570603800817898
2,4,102,17.0,0.004089487611258119
2,5,125,20.833333333333332,0.005011626974581028
2,6,118,19.666666666666668,0.0047309758640044905
2,7,105,17.5,0.004209766658648063
2,8,91,15.166666666666666,0.0036484644374949883
2,9,99,16.5,0.0039692085638681745
2,10,60,10.0,0.0024055809477988932
2,11,55,9.166666666666666,0.0022051158688156523
2,12,57,9.5,0.002285301900408949
2,13,64,10.666666666666666,0.002565953010985486
2,14,74,12.333333333333334,0.0029668831689519688
2,15,63,10.5,0.002525859995188838
2,16,53,8.833333333333334,0.002124929837222356
2,17,68,11.333333333333334,0.0027263250741720794
2,18,59,9.833333333333334,0.0023654879320022452
2,19,48,8.0,0.0019244647582391148
2,20,59,9.833333333333334,0.0023654879320022452
2,21,70,11.666666666666666,0.0028065111057653754
