Day,Count,Average per Video,Relative Probability (%)
1,23111,1155.55,41.153531108657724
2,3252,162.6,5.790804515830336
3,2961,148.05,5.27262366893408
4,2671,133.55,4.756223512233343
5,2402,120.1,4.277217849638521
6,1631,81.55,2.904305708892767
7,1356,67.8,2.4146159051248266
8,1063,53.15,1.89287367783753
9,768,38.4,1.3675700701591937
10,621,31.05,1.1058086114177856
11,420,21.0,0.7478898821183091
12,333,16.65,0.592969835108088
13,371,18.55,0.6606360625378398
14,339,16.95,0.6036539762812067
15,381,19.05,0.6784429644930376
16,285,14.25,0.5074967057231383
17,217,10.85,0.38640977242779306
18,227,11.35,0.4042166743829909
19,267,13.35,0.47544428220378226
20,240,12.0,0.4273656469247481
21,239,11.95,0.42558495672922825
22,188,9.4,0.3347697567577193
23,202,10.1,0.3596994194949963
24,146,7.3,0.2599807685458884
25,152,7.6,0.27066490971900714
26,129,6.45,0.22970903522205208
27,129,6.45,0.22970903522205208
28,115,5.75,0.20477937248477512
29,177,8.85,0.3151821646070017
30,123,6.15,0.2190248940489334
31,129,6.45,0.22970903522205208
32,80,4.0,0.1424552156415827
33,104,5.2,0.1851917803340575
34,108,5.4,0.19231454111613666
35,70,3.5,0.12464831368638486
36,78,3.9,0.13889383525054314
37,67,3.35,0.1193062430998255
38,76,3.8,0.13533245485950357
39,70,3.5,0.12464831368638486
40,114,5.7,0.20299868228925538
41,96,4.8,0.17094625876989922
42,50,2.5,0.08903450977598919
43,80,4.0,0.1424552156415827
44,50,2.5,0.08903450977598919
45,80,4.0,0.1424552156415827
46,53,2.65,0.09437658036254853
47,53,2.65,0.09437658036254853
48,54,2.7,0.09615727055806833
49,53,2.65,0.09437658036254853
50,50,2.5,0.08903450977598919
51,50,2.5,0.08903450977598919
52,72,3.6,0.1282096940774244
53,54,2.7,0.09615727055806833
54,50,2.5,0.08903450977598919
55,77,3.85,0.13711314505502334
56,43,2.15,0.0765696784073507
57,52,2.6,0.09259589016702875
58,44,2.2,0.0783503686028705
59,33,1.65,0.05876277645215286
60,41,2.05,0.07300829801631112
61,50,2.5,0.08903450977598919
62,41,2.05,0.07300829801631112
63,54,2.7,0.09615727055806833
64,42,2.1,0.07478898821183093
65,36,1.8,0.0641048470387122
66,44,2.2,0.0783503686028705
67,44,2.2,0.0783503686028705
68,46,2.3,0.08191174899391004
69,39,1.95,0.06944691762527157
70,34,1.7,0.06054346664767264
