Day,Hour,Count,Average per Video,Relative Probability
0,0,2430,121.5,0.04327077175113074
0,1,2819,140.95,0.050197656611702696
0,2,2117,105.85,0.03769721143915382
0,3,1916,95.8,0.034118024146159054
0,4,1516,75.8,0.02699526336407992
0,5,1415,70.75,0.02519676626660494
0,6,1221,61.05,0.021742227287296557
0,7,1210,60.5,0.021546351365789383
0,8,1035,51.75,0.01843014352362976
0,9,980,49.0,0.01745076391609388
0,10,903,45.15,0.016079632465543645
0,11,781,39.05,0.01390719042700951
0,12,782,39.1,0.01392499732896471
0,13,744,37.2,0.013248335054667191
0,14,602,30.1,0.010719754977029098
0,15,497,24.85,0.008850030271733325
0,16,434,21.7,0.007728195448555861
0,17,338,16.9,0.006018732860856868
0,18,254,12.7,0.0045229530966202506
0,19,227,11.35,0.004042166743829909
0,20,202,10.1,0.003596994194949963
0,21,203,10.15,0.003614801096905161
0,22,228,11.4,0.004059973645785107
0,23,257,12.85,0.004576373802485844
1,0,221,11.05,0.003935325332098723
1,1,238,11.9,0.004238042665337085
1,2,197,9.85,0.0035079596851739737
1,3,183,9.15,0.003258663057801204
1,4,183,9.15,0.003258663057801204
1,5,161,8.05,0.002866911214786852
1,6,153,7.65,0.0027244559991452693
1,7,132,6.6,0.0023505110580861145
1,8,160,8.0,0.002849104312831654
1,9,136,6.8,0.0024217386659069057
1,10,156,7.8,0.0027778767050108625
1,11,156,7.8,0.0027778767050108625
1,12,190,9.5,0.003383311371487589
1,13,151,7.55,0.0026888421952348733
1,14,142,7.1,0.002528580077638093
1,15,115,5.75,0.0020477937248477513
1,16,76,3.8,0.0013533245485950357
1,17,81,4.05,0.0014423590583710246
1,18,62,3.1,0.0011040279212222658
1,19,63,3.15,0.0011218348231774636
1,20,62,3.1,0.0011040279212222658
1,21,59,2.95,0.0010506072153566724
1,22,77,3.85,0.0013711314505502334
1,23,98,4.9,0.001745076391609388
2,0,131,6.55,0.0023327041561309165
2,1,113,5.65,0.0020121799209373557
2,2,146,7.3,0.002599807685458884
2,3,142,7.1,0.002528580077638093
2,4,145,7.25,0.0025820007835036865
2,5,156,7.8,0.0027778767050108625
2,6,115,5.75,0.0020477937248477513
2,7,124,6.2,0.0022080558424445317
2,8,112,5.6,0.0019943730189821577
2,9,161,8.05,0.002866911214786852
2,10,124,6.2,0.0022080558424445317
2,11,147,7.35,0.002617614587414082
2,12,134,6.7,0.00238612486199651
2,13,191,9.55,0.003401118273442787
2,14,157,7.85,0.00279568360696606
2,15,144,7.2,0.0025641938815484885
2,16,106,5.3,0.0018875316072509707
2,17,96,4.8,0.0017094625876989923
2,18,86,4.3,0.0015313935681470138
2,19,83,4.15,0.0014779728622814207
2,20,60,3.0,0.0010684141173118702
2,21,101,5.05,0.0017984970974749815
2,22,82,4.1,0.0014601659603262224
2,23,105,5.25,0.0018697247052957729
3,0,119,5.95,0.0021190213326685425
3,1,129,6.45,0.002297090352220521
3,2,127,6.35,0.0022614765483101253
3,3,166,8.3,0.0029559457245628413
3,4,143,7.15,0.002546386979593291
3,5,129,6.45,0.002297090352220521
3,6,139,6.95,0.0024751593717724993
3,7,147,7.35,0.002617614587414082
3,8,139,6.95,0.0024751593717724993
3,9,129,6.45,0.002297090352220521
3,10,118,5.9,0.002101214430713345
3,11,135,6.75,0.002403931763951708
3,12,109,5.45,0.0019409523131165643
3,13,112,5.6,0.0019943730189821577
3,14,113,5.65,0.0020121799209373557
3,15,115,5.75,0.0020477937248477513
3,16,116,5.8,0.002065600626802949
3,17,72,3.6,0.0012820969407742442
3,18,71,3.55,0.0012642900388190464
3,19,61,3.05,0.001086221019267068
3,20,88,4.4,0.0015670073720574099
3,21,64,3.2,0.0011396417251326616
3,22,63,3.15,0.0011218348231774636
3,23,67,3.35,0.001193062430998255
4,0,131,6.55,0.0023327041561309165
4,1,128,6.4,0.0022792834502653233
4,2,105,5.25,0.0018697247052957729
4,3,132,6.6,0.0023505110580861145
4,4,126,6.3,0.0022436696463549273
4,5,135,6.75,0.002403931763951708
4,6,118,5.9,0.002101214430713345
4,7,93,4.65,0.0016560418818333989
4,8,121,6.05,0.002154635136578938
4,9,113,5.65,0.0020121799209373557
4,10,113,5.65,0.0020121799209373557
4,11,108,5.4,0.0019231454111613665
4,12,112,5.6,0.0019943730189821577
4,13,86,4.3,0.0015313935681470138
4,14,85,4.25,0.001513586666191816
4,15,85,4.25,0.001513586666191816
4,16,116,5.8,0.002065600626802949
4,17,113,5.65,0.0020121799209373557
4,18,57,2.85,0.0010149934114462768
4,19,75,3.75,0.0013355176466398379
4,20,62,3.1,0.0011040279212222658
4,21,70,3.5,0.0012464831368638486
4,22,53,2.65,0.0009437658036254853
4,23,65,3.25,0.0011574486270878594
5,0,80,4.0,0.001424552156415827
5,1,96,4.8,0.0017094625876989923
5,2,97,4.85,0.00172726948965419
5,3,97,4.85,0.00172726948965419
5,4,78,3.9,0.0013889383525054312
5,5,97,4.85,0.00172726948965419
5,6,69,3.45,0.0012286762349086509
5,7,83,4.15,0.0014779728622814207
5,8,61,3.05,0.001086221019267068
5,9,70,3.5,0.0012464831368638486
5,10,91,4.55,0.001620428077923003
5,11,75,3.75,0.0013355176466398379
5,12,61,3.05,0.001086221019267068
5,13,63,3.15,0.0011218348231774636
5,14,73,3.65,0.001299903842729442
5,15,64,3.2,0.0011396417251326616
5,16,69,3.45,0.0012286762349086509
5,17,51,2.55,0.0009081519997150896
5,18,51,2.55,0.0009081519997150896
5,19,51,2.55,0.0009081519997150896
5,20,39,1.95,0.0006944691762527156
5,21,46,2.3,0.0008191174899391004
5,22,33,1.65,0.0005876277645215286
5,23,36,1.8,0.0006410484703871221
6,0,55,2.75,0.000979379607535881
6,1,46,2.3,0.0008191174899391004
6,2,64,3.2,0.0011396417251326616
6,3,71,3.55,0.0012642900388190464
6,4,74,3.7,0.00131771074468464
6,5,51,2.55,0.0009081519997150896
6,6,76,3.8,0.0013533245485950357
6,7,78,3.9,0.0013889383525054312
6,8,57,2.85,0.0010149934114462768
6,9,62,3.1,0.0011040279212222658
6,10,74,3.7,0.00131771074468464
6,11,91,4.55,0.001620428077923003
6,12,76,3.8,0.0013533245485950357
6,13,65,3.25,0.0011574486270878594
6,14,61,3.05,0.001086221019267068
6,15,60,3.0,0.0010684141173118702
6,16,48,2.4,0.0008547312938494961
6,17,48,2.4,0.0008547312938494961
6,18,34,1.7,0.0006054346664767264
6,19,27,1.35,0.0004807863527903416
6,20,30,1.5,0.0005342070586559351
6,21,26,1.3,0.00046297945083514377
6,22,22,1.1,0.00039175184301435247
6,23,60,3.0,0.0010684141173118702
7,0,55,2.75,0.000979379607535881
7,1,59,2.95,0.0010506072153566724
7,2,82,4.1,0.0014601659603262224
