Day,Count,Average per Video,Relative Probability (%)
1,442,88.4,7.717827833071415
2,116,23.2,2.0254932774576564
3,82,16.4,1.4318142133752398
4,83,16.6,1.4492753623188406
5,145,29.0,2.5318665968220704
6,156,31.2,2.723939235201676
7,195,39.0,3.404924044002095
8,157,31.4,2.7414003841452765
9,135,27.0,2.3572551073860657
10,115,23.0,2.0080321285140563
11,122,24.4,2.1302601711192595
12,82,16.4,1.4318142133752398
13,48,9.6,0.8381351492928233
14,43,8.6,0.750829404574821
15,55,11.0,0.9603631918980269
16,54,10.8,0.9429020429544265
17,39,7.8,0.680984808800419
18,34,6.8,0.5936790640824166
19,33,6.6,0.576217915138816
20,33,6.6,0.576217915138816
21,33,6.6,0.576217915138816
22,32,6.4,0.5587567661952156
23,20,4.0,0.34922297887200976
24,24,4.8,0.41906757464641164
25,33,6.6,0.576217915138816
26,30,6.0,0.5238344683080146
27,27,5.4,0.47145102147721324
28,32,6.4,0.5587567661952156
29,41,8.2,0.7159071066876199
30,31,6.2,0.5412956172516151
31,26,5.2,0.45398987253361267
32,27,5.4,0.47145102147721324
33,29,5.8,0.5063733193644141
34,23,4.6,0.4016064257028112
35,11,2.2,0.19207263837960536
36,12,2.4,0.20953378732320582
37,10,2.0,0.17461148943600488
38,13,2.6,0.22699493626680634
39,11,2.2,0.19207263837960536
40,10,2.0,0.17461148943600488
41,13,2.6,0.22699493626680634
42,18,3.6,0.3143006809848088
43,16,3.2,0.2793783830976078
44,14,2.8,0.2444560852104068
45,17,3.4,0.2968395320412083
46,22,4.4,0.38414527675921073
47,12,2.4,0.20953378732320582
48,21,4.2,0.3666841278156102
49,20,4.0,0.34922297887200976
50,11,2.2,0.19207263837960536
51,17,3.4,0.2968395320412083
52,16,3.2,0.2793783830976078
53,16,3.2,0.2793783830976078
54,14,2.8,0.2444560852104068
55,14,2.8,0.2444560852104068
56,17,3.4,0.2968395320412083
57,23,4.6,0.4016064257028112
58,16,3.2,0.2793783830976078
59,12,2.4,0.20953378732320582
60,21,4.2,0.3666841278156102
61,18,3.6,0.3143006809848088
62,14,2.8,0.2444560852104068
63,13,2.6,0.22699493626680634
64,13,2.6,0.22699493626680634
65,17,3.4,0.2968395320412083
66,10,2.0,0.17461148943600488
67,14,2.8,0.2444560852104068
68,7,1.4,0.1222280426052034
69,10,2.0,0.17461148943600488
70,17,3.4,0.2968395320412083
71,12,2.4,0.20953378732320582
72,5,1.0,0.08730574471800244
73,12,2.4,0.20953378732320582
74,7,1.4,0.1222280426052034
75,2,0.4,0.03492229788720098
76,10,2.0,0.17461148943600488
77,2,0.4,0.03492229788720098
78,13,2.6,0.22699493626680634
79,7,1.4,0.1222280426052034
80,9,1.8,0.1571503404924044
81,10,2.0,0.17461148943600488
82,6,1.2,0.10476689366160291
83,17,3.4,0.2968395320412083
84,12,2.4,0.20953378732320582
85,15,3.0,0.2619172341540073
86,19,3.8,0.33176182992840925
87,31,6.2,0.5412956172516151
88,36,7.2,0.6286013619696176
89,54,10.8,0.9429020429544265
90,46,9.2,0.8032128514056224
91,37,7.4,0.6460625109132181
92,21,4.2,0.3666841278156102
93,23,4.6,0.4016064257028112
94,15,3.0,0.2619172341540073
95,23,4.6,0.4016064257028112
96,14,2.8,0.2444560852104068
97,11,2.2,0.19207263837960536
98,15,3.0,0.2619172341540073
99,17,3.4,0.2968395320412083
100,11,2.2,0.19207263837960536
101,11,2.2,0.19207263837960536
102,5,1.0,0.08730574471800244
103,20,4.0,0.34922297887200976
104,13,2.6,0.22699493626680634
105,14,2.8,0.2444560852104068
106,10,2.0,0.17461148943600488
107,10,2.0,0.17461148943600488
108,12,2.4,0.20953378732320582
109,11,2.2,0.19207263837960536
110,5,1.0,0.08730574471800244
111,10,2.0,0.17461148943600488
112,14,2.8,0.2444560852104068
113,9,1.8,0.1571503404924044
114,10,2.0,0.17461148943600488
115,21,4.2,0.3666841278156102
116,35,7.0,0.6111402130260171
117,31,6.2,0.5412956172516151
118,31,6.2,0.5412956172516151
119,14,2.8,0.2444560852104068
120,43,8.6,0.750829404574821
121,13,2.6,0.22699493626680634
122,12,2.4,0.20953378732320582
123,14,2.8,0.2444560852104068
124,11,2.2,0.19207263837960536
125,7,1.4,0.1222280426052034
126,17,3.4,0.2968395320412083
127,17,3.4,0.2968395320412083
128,21,4.2,0.3666841278156102
129,24,4.8,0.41906757464641164
130,21,4.2,0.3666841278156102
131,14,2.8,0.2444560852104068
132,7,1.4,0.1222280426052034
133,13,2.6,0.22699493626680634
134,14,2.8,0.2444560852104068
135,8,1.6,0.1396891915488039
136,18,3.6,0.3143006809848088
137,8,1.6,0.1396891915488039
138,8,1.6,0.1396891915488039
139,7,1.4,0.1222280426052034
140,10,2.0,0.17461148943600488
141,8,1.6,0.1396891915488039
142,10,2.0,0.17461148943600488
143,6,1.2,0.10476689366160291
144,7,1.4,0.1222280426052034
145,2,0.4,0.03492229788720098
146,6,1.2,0.10476689366160291
147,2,0.4,0.03492229788720098
148,9,1.8,0.1571503404924044
149,10,2.0,0.17461148943600488
150,8,1.6,0.1396891915488039
151,4,0.8,0.06984459577440195
152,4,0.8,0.06984459577440195
153,6,1.2,0.10476689366160291
154,10,2.0,0.17461148943600488
155,10,2.0,0.17461148943600488
156,3,0.6,0.052383446830801456
157,10,2.0,0.17461148943600488
158,17,3.4,0.2968395320412083
159,38,7.6,0.6635236598568185
160,36,7.2,0.6286013619696176
161,30,6.0,0.5238344683080146
162,34,6.8,0.5936790640824166
163,21,4.2,0.3666841278156102
164,14,2.8,0.2444560852104068
165,11,2.2,0.19207263837960536
166,11,2.2,0.19207263837960536
167,10,2.0,0.17461148943600488
168,5,1.0,0.08730574471800244
169,1,0.2,0.01746114894360049
170,6,1.2,0.10476689366160291
171,1,0.2,0.01746114894360049
172,6,1.2,0.10476689366160291
173,1,0.2,0.01746114894360049
174,11,2.2,0.19207263837960536
175,6,1.2,0.10476689366160291
176,6,1.2,0.10476689366160291
177,7,1.4,0.1222280426052034
178,9,1.8,0.1571503404924044
179,10,2.0,0.17461148943600488
180,13,2.6,0.22699493626680634
181,4,0.8,0.06984459577440195
182,8,1.6,0.1396891915488039
183,10,2.0,0.17461148943600488
184,3,0.6,0.052383446830801456
185,8,1.6,0.1396891915488039
186,8,1.6,0.1396891915488039
187,3,0.6,0.052383446830801456
189,1,0.2,0.01746114894360049
190,3,0.6,0.052383446830801456
191,1,0.2,0.01746114894360049
192,4,0.8,0.06984459577440195
193,6,1.2,0.10476689366160291
194,8,1.6,0.1396891915488039
195,2,0.4,0.03492229788720098
196,4,0.8,0.06984459577440195
197,1,0.2,0.01746114894360049
198,5,1.0,0.08730574471800244
199,3,0.6,0.052383446830801456
200,6,1.2,0.10476689366160291
201,7,1.4,0.1222280426052034
202,3,0.6,0.052383446830801456
203,7,1.4,0.1222280426052034
204,1,0.2,0.01746114894360049
205,3,0.6,0.052383446830801456
206,7,1.4,0.1222280426052034
207,4,0.8,0.06984459577440195
208,3,0.6,0.052383446830801456
209,4,0.8,0.06984459577440195
210,2,0.4,0.03492229788720098
211,3,0.6,0.052383446830801456
212,11,2.2,0.19207263837960536
213,5,1.0,0.08730574471800244
214,5,1.0,0.08730574471800244
215,10,2.0,0.17461148943600488
216,6,1.2,0.10476689366160291
217,9,1.8,0.1571503404924044
218,3,0.6,0.052383446830801456
219,5,1.0,0.08730574471800244
220,5,1.0,0.08730574471800244
221,10,2.0,0.17461148943600488
222,8,1.6,0.1396891915488039
223,5,1.0,0.08730574471800244
224,2,0.4,0.03492229788720098
225,1,0.2,0.01746114894360049
226,2,0.4,0.03492229788720098
227,3,0.6,0.052383446830801456
228,3,0.6,0.052383446830801456
229,9,1.8,0.1571503404924044
230,3,0.6,0.052383446830801456
231,2,0.4,0.03492229788720098
232,3,0.6,0.052383446830801456
234,3,0.6,0.052383446830801456
235,3,0.6,0.052383446830801456
236,5,1.0,0.08730574471800244
237,1,0.2,0.01746114894360049
238,4,0.8,0.06984459577440195
239,5,1.0,0.08730574471800244
240,6,1.2,0.10476689366160291
241,2,0.4,0.03492229788720098
242,5,1.0,0.08730574471800244
243,10,2.0,0.17461148943600488
244,3,0.6,0.052383446830801456
245,2,0.4,0.03492229788720098
246,3,0.6,0.052383446830801456
247,5,1.0,0.08730574471800244
248,1,0.2,0.01746114894360049
249,7,1.4,0.1222280426052034
250,5,1.0,0.08730574471800244
251,5,1.0,0.08730574471800244
252,1,0.2,0.01746114894360049
253,1,0.2,0.01746114894360049
254,7,1.4,0.1222280426052034
255,1,0.2,0.01746114894360049
256,1,0.2,0.01746114894360049
258,2,0.4,0.03492229788720098
259,1,0.2,0.01746114894360049
261,4,0.8,0.06984459577440195
262,4,0.8,0.06984459577440195
263,3,0.6,0.052383446830801456
264,1,0.2,0.01746114894360049
266,3,0.6,0.052383446830801456
267,3,0.6,0.052383446830801456
268,3,0.6,0.052383446830801456
269,5,1.0,0.08730574471800244
270,1,0.2,0.01746114894360049
271,1,0.2,0.01746114894360049
272,3,0.6,0.052383446830801456
273,5,1.0,0.08730574471800244
274,1,0.2,0.01746114894360049
275,4,0.8,0.06984459577440195
276,4,0.8,0.06984459577440195
278,2,0.4,0.03492229788720098
279,1,0.2,0.01746114894360049
280,5,1.0,0.08730574471800244
281,3,0.6,0.052383446830801456
282,1,0.2,0.01746114894360049
283,3,0.6,0.052383446830801456
284,3,0.6,0.052383446830801456
285,2,0.4,0.03492229788720098
286,1,0.2,0.01746114894360049
287,1,0.2,0.01746114894360049
288,2,0.4,0.03492229788720098
289,1,0.2,0.01746114894360049
290,2,0.4,0.03492229788720098
291,3,0.6,0.052383446830801456
292,1,0.2,0.01746114894360049
293,7,1.4,0.1222280426052034
294,5,1.0,0.08730574471800244
295,3,0.6,0.052383446830801456
296,5,1.0,0.08730574471800244
297,1,0.2,0.01746114894360049
299,1,0.2,0.01746114894360049
300,4,0.8,0.06984459577440195
302,2,0.4,0.03492229788720098
303,2,0.4,0.03492229788720098
304,1,0.2,0.01746114894360049
305,2,0.4,0.03492229788720098
306,1,0.2,0.01746114894360049
308,3,0.6,0.052383446830801456
311,2,0.4,0.03492229788720098
312,2,0.4,0.03492229788720098
313,1,0.2,0.01746114894360049
314,3,0.6,0.052383446830801456
315,3,0.6,0.052383446830801456
316,2,0.4,0.03492229788720098
317,4,0.8,0.06984459577440195
318,1,0.2,0.01746114894360049
319,2,0.4,0.03492229788720098
320,1,0.2,0.01746114894360049
321,16,3.2,0.2793783830976078
323,1,0.2,0.01746114894360049
325,4,0.8,0.06984459577440195
326,4,0.8,0.06984459577440195
328,1,0.2,0.01746114894360049
330,2,0.4,0.03492229788720098
331,5,1.0,0.08730574471800244
332,1,0.2,0.01746114894360049
333,1,0.2,0.01746114894360049
334,3,0.6,0.052383446830801456
335,2,0.4,0.03492229788720098
336,1,0.2,0.01746114894360049
337,2,0.4,0.03492229788720098
338,2,0.4,0.03492229788720098
339,2,0.4,0.03492229788720098
340,3,0.6,0.052383446830801456
341,4,0.8,0.06984459577440195
342,3,0.6,0.052383446830801456
343,3,0.6,0.052383446830801456
344,3,0.6,0.052383446830801456
345,2,0.4,0.03492229788720098
346,8,1.6,0.1396891915488039
347,2,0.4,0.03492229788720098
349,4,0.8,0.06984459577440195
350,3,0.6,0.052383446830801456
351,1,0.2,0.01746114894360049
352,2,0.4,0.03492229788720098
355,3,0.6,0.052383446830801456
356,1,0.2,0.01746114894360049
357,1,0.2,0.01746114894360049
358,4,0.8,0.06984459577440195
359,4,0.8,0.06984459577440195
360,1,0.2,0.01746114894360049
361,2,0.4,0.03492229788720098
362,8,1.6,0.1396891915488039
363,2,0.4,0.03492229788720098
364,5,1.0,0.08730574471800244
365,1,0.2,0.01746114894360049
366,5,1.0,0.08730574471800244
367,4,0.8,0.06984459577440195
368,3,0.6,0.052383446830801456
369,5,1.0,0.08730574471800244
370,1,0.2,0.01746114894360049
371,9,1.8,0.1571503404924044
372,2,0.4,0.03492229788720098
373,2,0.4,0.03492229788720098
374,3,0.6,0.052383446830801456
375,5,1.0,0.08730574471800244
376,5,1.0,0.08730574471800244
377,3,0.6,0.052383446830801456
378,6,1.2,0.10476689366160291
379,3,0.6,0.052383446830801456
380,1,0.2,0.01746114894360049
381,3,0.6,0.052383446830801456
382,4,0.8,0.06984459577440195
383,5,1.0,0.08730574471800244
384,3,0.6,0.052383446830801456
385,1,0.2,0.01746114894360049
386,1,0.2,0.01746114894360049
387,4,0.8,0.06984459577440195
388,4,0.8,0.06984459577440195
389,2,0.4,0.03492229788720098
390,4,0.8,0.06984459577440195
391,3,0.6,0.052383446830801456
392,4,0.8,0.06984459577440195
393,3,0.6,0.052383446830801456
394,6,1.2,0.10476689366160291
395,6,1.2,0.10476689366160291
396,13,2.6,0.22699493626680634
397,2,0.4,0.03492229788720098
398,7,1.4,0.1222280426052034
399,7,1.4,0.1222280426052034
400,8,1.6,0.1396891915488039
401,6,1.2,0.10476689366160291
402,8,1.6,0.1396891915488039
403,5,1.0,0.08730574471800244
404,2,0.4,0.03492229788720098
405,2,0.4,0.03492229788720098
406,4,0.8,0.06984459577440195
407,1,0.2,0.01746114894360049
408,6,1.2,0.10476689366160291
409,3,0.6,0.052383446830801456
410,1,0.2,0.01746114894360049
411,2,0.4,0.03492229788720098
412,2,0.4,0.03492229788720098
414,2,0.4,0.03492229788720098
415,1,0.2,0.01746114894360049
416,1,0.2,0.01746114894360049
417,2,0.4,0.03492229788720098
418,4,0.8,0.06984459577440195
419,3,0.6,0.052383446830801456
420,2,0.4,0.03492229788720098
421,2,0.4,0.03492229788720098
423,5,1.0,0.08730574471800244
424,1,0.2,0.01746114894360049
425,2,0.4,0.03492229788720098
426,4,0.8,0.06984459577440195
428,1,0.2,0.01746114894360049
429,2,0.4,0.03492229788720098
430,3,0.6,0.052383446830801456
432,7,1.4,0.1222280426052034
433,2,0.4,0.03492229788720098
434,6,1.2,0.10476689366160291
435,2,0.4,0.03492229788720098
436,4,0.8,0.06984459577440195
437,3,0.6,0.052383446830801456
438,1,0.2,0.01746114894360049
439,2,0.4,0.03492229788720098
440,2,0.4,0.03492229788720098
441,1,0.2,0.01746114894360049
442,2,0.4,0.03492229788720098
444,2,0.4,0.03492229788720098
445,3,0.6,0.052383446830801456
446,2,0.4,0.03492229788720098
447,2,0.4,0.03492229788720098
448,3,0.6,0.052383446830801456
449,4,0.8,0.06984459577440195
450,3,0.6,0.052383446830801456
