Day,Hour,Count,Average per Video,Relative Probability
0,0,104,20.8,0.018159594901344507
0,1,42,8.4,0.007333682556312205
0,2,43,8.6,0.0075082940457482095
0,3,33,6.6,0.005762179151388161
0,4,24,4.8,0.004190675746464117
0,5,16,3.2,0.002793783830976078
0,6,16,3.2,0.002793783830976078
0,7,16,3.2,0.002793783830976078
0,8,19,3.8,0.0033176182992840923
0,9,15,3.0,0.002619172341540073
0,10,10,2.0,0.0017461148943600487
0,11,5,1.0,0.0008730574471800243
0,12,10,2.0,0.0017461148943600487
0,13,11,2.2,0.0019207263837960537
0,14,14,2.8,0.002444560852104068
0,15,8,1.6,0.001396891915488039
0,16,4,0.8,0.0006984459577440195
0,17,11,2.2,0.0019207263837960537
0,18,6,1.2,0.0010476689366160292
0,19,11,2.2,0.0019207263837960537
0,20,7,1.4,0.001222280426052034
0,21,7,1.4,0.001222280426052034
0,22,5,1.0,0.0008730574471800243
0,23,5,1.0,0.0008730574471800243
1,0,9,1.8,0.0015715034049240439
1,1,6,1.2,0.0010476689366160292
1,2,18,3.6,0.0031430068098480877
1,3,2,0.4,0.00034922297887200976
1,4,4,0.8,0.0006984459577440195
1,6,3,0.6,0.0005238344683080146
1,7,3,0.6,0.0005238344683080146
1,8,2,0.4,0.00034922297887200976
1,9,3,0.6,0.0005238344683080146
1,10,10,2.0,0.0017461148943600487
1,11,4,0.8,0.0006984459577440195
1,12,4,0.8,0.0006984459577440195
1,13,4,0.8,0.0006984459577440195
1,14,9,1.8,0.0015715034049240439
1,15,4,0.8,0.0006984459577440195
1,16,3,0.6,0.0005238344683080146
1,17,6,1.2,0.0010476689366160292
1,18,4,0.8,0.0006984459577440195
1,19,4,0.8,0.0006984459577440195
1,20,2,0.4,0.00034922297887200976
1,21,5,1.0,0.0008730574471800243
1,22,1,0.2,0.00017461148943600488
1,23,6,1.2,0.0010476689366160292
2,0,8,1.6,0.001396891915488039
2,1,2,0.4,0.00034922297887200976
2,2,5,1.0,0.0008730574471800243
2,3,7,1.4,0.001222280426052034
2,4,2,0.4,0.00034922297887200976
2,5,2,0.4,0.00034922297887200976
2,6,3,0.6,0.0005238344683080146
2,8,4,0.8,0.0006984459577440195
2,9,7,1.4,0.001222280426052034
2,11,3,0.6,0.0005238344683080146
2,12,4,0.8,0.0006984459577440195
2,13,3,0.6,0.0005238344683080146
2,14,1,0.2,0.00017461148943600488
2,15,6,1.2,0.0010476689366160292
2,16,5,1.0,0.0008730574471800243
2,17,1,0.2,0.00017461148943600488
2,18,4,0.8,0.0006984459577440195
2,19,1,0.2,0.00017461148943600488
2,20,3,0.6,0.0005238344683080146
2,21,2,0.4,0.00034922297887200976
2,22,7,1.4,0.001222280426052034
2,23,2,0.4,0.00034922297887200976
3,0,5,1.0,0.0008730574471800243
3,1,1,0.2,0.00017461148943600488
3,2,7,1.4,0.001222280426052034
3,3,8,1.6,0.001396891915488039
3,6,2,0.4,0.00034922297887200976
3,7,3,0.6,0.0005238344683080146
3,8,2,0.4,0.00034922297887200976
3,9,5,1.0,0.0008730574471800243
3,10,4,0.8,0.0006984459577440195
3,11,6,1.2,0.0010476689366160292
3,12,1,0.2,0.00017461148943600488
3,13,4,0.8,0.0006984459577440195
3,14,1,0.2,0.00017461148943600488
3,15,8,1.6,0.001396891915488039
3,16,10,2.0,0.0017461148943600487
3,17,5,1.0,0.0008730574471800243
3,18,2,0.4,0.00034922297887200976
3,21,3,0.6,0.0005238344683080146
3,22,2,0.4,0.00034922297887200976
3,23,4,0.8,0.0006984459577440195
4,0,3,0.6,0.0005238344683080146
4,1,2,0.4,0.00034922297887200976
4,2,3,0.6,0.0005238344683080146
4,3,6,1.2,0.0010476689366160292
4,4,2,0.4,0.00034922297887200976
4,5,7,1.4,0.001222280426052034
4,6,5,1.0,0.0008730574471800243
4,7,8,1.6,0.001396891915488039
4,8,15,3.0,0.002619172341540073
4,9,10,2.0,0.0017461148943600487
4,10,4,0.8,0.0006984459577440195
4,11,5,1.0,0.0008730574471800243
4,12,12,2.4,0.0020953378732320583
4,13,7,1.4,0.001222280426052034
4,14,10,2.0,0.0017461148943600487
4,15,3,0.6,0.0005238344683080146
4,16,7,1.4,0.001222280426052034
4,17,6,1.2,0.0010476689366160292
4,18,6,1.2,0.0010476689366160292
4,19,7,1.4,0.001222280426052034
4,20,3,0.6,0.0005238344683080146
4,21,5,1.0,0.0008730574471800243
4,22,2,0.4,0.00034922297887200976
4,23,7,1.4,0.001222280426052034
5,0,1,0.2,0.00017461148943600488
5,1,7,1.4,0.001222280426052034
5,2,8,1.6,0.001396891915488039
5,3,2,0.4,0.00034922297887200976
5,4,5,1.0,0.0008730574471800243
5,5,9,1.8,0.0015715034049240439
5,6,4,0.8,0.0006984459577440195
5,7,2,0.4,0.00034922297887200976
5,8,6,1.2,0.0010476689366160292
5,9,9,1.8,0.0015715034049240439
5,10,7,1.4,0.001222280426052034
5,11,10,2.0,0.0017461148943600487
5,12,4,0.8,0.0006984459577440195
5,13,14,2.8,0.002444560852104068
5,14,3,0.6,0.0005238344683080146
5,15,7,1.4,0.001222280426052034
5,16,6,1.2,0.0010476689366160292
5,17,7,1.4,0.001222280426052034
5,18,9,1.8,0.0015715034049240439
5,19,4,0.8,0.0006984459577440195
5,20,4,0.8,0.0006984459577440195
5,21,7,1.4,0.001222280426052034
5,22,8,1.6,0.001396891915488039
5,23,13,2.6,0.0022699493626680634
6,0,5,1.0,0.0008730574471800243
6,1,3,0.6,0.0005238344683080146
6,2,9,1.8,0.0015715034049240439
6,3,8,1.6,0.001396891915488039
6,4,3,0.6,0.0005238344683080146
6,5,6,1.2,0.0010476689366160292
6,6,5,1.0,0.0008730574471800243
6,7,6,1.2,0.0010476689366160292
6,8,9,1.8,0.0015715034049240439
6,9,7,1.4,0.001222280426052034
6,10,8,1.6,0.001396891915488039
6,11,15,3.0,0.002619172341540073
6,12,13,2.6,0.0022699493626680634
