Day,Hour,Count,Average per Video,Relative Probability
0,0,5358,297.6666666666667,0.0441412718420207
0,1,4672,259.55555555555554,0.038489739090317415
0,2,3512,195.11111111111111,0.02893321140522148
0,3,2852,158.44444444444446,0.023495876687839316
0,4,2500,138.88888888888889,0.02059596483856882
0,5,2084,115.77777777777777,0.01716879628943097
0,6,1677,93.16666666666667,0.013815773213711966
0,7,1555,86.38888888888889,0.012810690129589807
0,8,1410,78.33333333333333,0.011616124168952816
0,9,1237,68.72222222222223,0.010190883402123855
0,10,1201,66.72222222222223,0.009894301508448463
0,11,1170,65.0,0.009638911544450209
0,12,1050,58.333333333333336,0.008650305232198906
0,13,990,55.0,0.008156002076073254
0,14,950,52.77777777777778,0.007826466638656153
0,15,896,49.77777777777778,0.007381593798143066
0,16,967,53.72222222222222,0.00796651919955842
0,17,952,52.888888888888886,0.007842943410527006
0,18,888,49.333333333333336,0.007315686710659646
0,19,937,52.05555555555556,0.007719367621495595
0,20,932,51.77777777777778,0.007678175691818457
0,21,910,50.55555555555556,0.0074969312012390515
0,22,930,51.666666666666664,0.007661698919947601
0,23,860,47.77777777777778,0.007085011904467675
1,0,844,46.888888888888886,0.006953197729500834
1,1,689,38.27777777777778,0.005676247909509567
1,2,664,36.888888888888886,0.005470288261123879
1,3,589,32.72222222222222,0.004852409315966815
1,4,552,30.666666666666668,0.004547589036355996
1,5,490,27.22222222222222,0.004036809108359489
1,6,421,23.38888888888889,0.0034683604788149896
1,7,430,23.88888888888889,0.0035425059522338374
1,8,460,25.555555555555557,0.0037896575302966634
1,9,417,23.166666666666668,0.00343540693507328
1,10,416,23.11111111111111,0.003427168549137852
1,11,386,21.444444444444443,0.003180016971075026
1,12,344,19.11111111111111,0.00283400476178707
1,13,343,19.055555555555557,0.0028257663758516427
1,14,301,16.72222222222222,0.0024797541665636863
1,15,330,18.333333333333332,0.0027186673586910843
1,16,296,16.444444444444443,0.002438562236886548
1,17,312,17.333333333333332,0.0025703764118533887
1,18,317,17.61111111111111,0.0026115683415305264
1,19,388,21.555555555555557,0.0031964937429458814
1,20,443,24.61111111111111,0.0036496049693943954
1,21,454,25.22222222222222,0.003740227214684098
1,22,407,22.61111111111111,0.003353023075719004
1,23,456,25.333333333333332,0.003756703986554953
2,0,414,23.0,0.003410691777266997
2,1,407,22.61111111111111,0.003353023075719004
2,2,402,22.333333333333332,0.0033118311460418664
2,3,347,19.27777777777778,0.0028587199195933524
2,4,317,17.61111111111111,0.0026115683415305264
2,5,295,16.38888888888889,0.002430323850951121
2,6,291,16.166666666666668,0.002397370307209411
2,7,271,15.055555555555555,0.0022326025885008602
2,8,215,11.944444444444445,0.0017712529761169187
2,9,270,15.0,0.0022243642025654327
2,10,290,16.11111111111111,0.0023891319212739834
2,11,291,16.166666666666668,0.002397370307209411
2,12,254,14.11111111111111,0.002092550027598592
2,13,257,14.277777777777779,0.002117265185404875
2,14,245,13.61111111111111,0.0020184045541797443
2,15,264,14.666666666666666,0.0021749338869528675
2,16,234,13.0,0.0019277823088900416
2,17,254,14.11111111111111,0.002092550027598592
2,18,274,15.222222222222221,0.002257317746307143
2,19,262,14.555555555555555,0.0021584571150820124
2,20,256,14.222222222222221,0.002109026799469447
2,21,304,16.88888888888889,0.002504469324369969
2,22,285,15.833333333333334,0.0023479399915968457
2,23,281,15.61111111111111,0.0023149864478551356
3,0,268,14.88888888888889,0.0022078874306945776
3,1,276,15.333333333333334,0.002273794518177998
3,2,290,16.11111111111111,0.0023891319212739834
3,3,356,19.77777777777778,0.0029328653930122003
3,4,289,16.055555555555557,0.002380893535338556
3,5,274,15.222222222222221,0.002257317746307143
3,6,226,12.555555555555555,0.0018618752214066216
3,7,230,12.777777777777779,0.0018948287651483317
3,8,229,12.722222222222221,0.001886590379212904
3,9,204,11.333333333333334,0.001680630730827216
3,10,192,10.666666666666666,0.0015817700996020854
3,11,191,10.61111111111111,0.0015735317136666579
3,12,185,10.277777777777779,0.0015241013980540929
3,13,200,11.11111111111111,0.0016476771870855057
3,14,181,10.055555555555555,0.0014911478543123827
3,15,175,9.722222222222221,0.0014417175386998175
3,16,182,10.11111111111111,0.0014993862402478103
3,17,193,10.722222222222221,0.001590008485537513
3,18,205,11.38888888888889,0.0016888691167626436
3,19,184,10.222222222222221,0.0015158630121186651
3,20,191,10.61111111111111,0.0015735317136666579
3,21,223,12.38888888888889,0.001837160063600339
3,22,209,11.61111111111111,0.0017218226605043535
3,23,285,15.833333333333334,0.0023479399915968457
4,0,212,11.777777777777779,0.0017465378183106363
4,1,241,13.38888888888889,0.0019854510104380346
4,2,215,11.944444444444445,0.0017712529761169187
4,3,194,10.777777777777779,0.0015982468714729407
4,4,188,10.444444444444445,0.0015488165558603755
4,5,173,9.61111111111111,0.0014252407668289625
4,6,159,8.833333333333334,0.0013099033637329772
4,7,160,8.88888888888889,0.0013181417496684047
4,8,133,7.388888888888889,0.0010957053294118615
4,9,118,6.555555555555555,0.0009721295403804484
4,10,130,7.222222222222222,0.0010709901716055787
4,11,145,8.055555555555555,0.0011945659606369917
4,12,143,7.944444444444445,0.0011780891887661366
4,13,121,6.722222222222222,0.000996844698186731
4,14,121,6.722222222222222,0.000996844698186731
4,15,169,9.38888888888889,0.0013922872230872525
4,16,117,6.5,0.0009638911544450208
4,17,182,10.11111111111111,0.0014993862402478103
4,18,146,8.11111111111111,0.0012028043465724192
4,19,116,6.444444444444445,0.0009556527685095934
4,20,179,9.944444444444445,0.0014746710824415277
4,21,194,10.777777777777779,0.0015982468714729407
4,22,178,9.88888888888889,0.0014664326965061001
4,23,182,10.11111111111111,0.0014993862402478103
5,0,154,8.555555555555555,0.0012687114340558395
5,1,111,6.166666666666667,0.0009144608388324557
5,2,154,8.555555555555555,0.0012687114340558395
5,3,147,8.166666666666666,0.0012110427325078465
5,4,126,7.0,0.0010380366278638685
5,5,121,6.722222222222222,0.000996844698186731
5,6,111,6.166666666666667,0.0009144608388324557
5,7,130,7.222222222222222,0.0010709901716055787
5,8,85,4.722222222222222,0.0007002628045113399
5,9,116,6.444444444444445,0.0009556527685095934
5,10,125,6.944444444444445,0.0010297982419284412
5,11,90,5.0,0.0007414547341884776
5,12,101,5.611111111111111,0.0008320769794781804
5,13,112,6.222222222222222,0.0009226992247678833
5,14,114,6.333333333333333,0.0009391759966387382
5,15,96,5.333333333333333,0.0007908850498010427
5,16,122,6.777777777777778,0.0010050830841221586
5,17,140,7.777777777777778,0.001153374030959854
5,18,137,7.611111111111111,0.0011286588731535714
5,19,139,7.722222222222222,0.0011451356450244265
5,20,158,8.777777777777779,0.0013016649777975496
5,21,165,9.166666666666666,0.0013593336793455422
5,22,127,7.055555555555555,0.001046275013799296
5,23,152,8.444444444444445,0.0012522346621849844
6,0,124,6.888888888888889,0.0010215598559930137
