Day,Count,Average per Video,Relative Probability (%)
1,70288,5406.7692307692305,50.64816215943564
2,14753,1134.8461538461538,10.6307241113441
3,8909,685.3076923076923,6.419651671386468
4,6504,500.3076923076923,4.686655569726972
5,4696,361.2307692307692,3.383846026358835
6,3114,239.53846153846155,2.2438876759117146
7,2190,168.46153846153845,1.5780712942346353
8,1659,127.61538461538461,1.1954430489202101
9,1166,89.6923076923077,0.8401968625925046
10,1148,88.3076923076923,0.8272264135987951
11,941,72.38461538461539,0.6780662501711379
12,850,65.38461538461539,0.6124934247029408
13,761,58.53846153846154,0.5483617602340446
14,738,56.76923076923077,0.5317884087420826
15,686,52.76923076923077,0.49431822276025567
16,656,50.46153846153846,0.4727008077707401
17,511,39.30769230769231,0.36821663532141496
18,440,33.84615384615385,0.31705541984622815
19,432,33.23076923076923,0.311290775849024
20,393,30.23076923076923,0.2831881363626537
21,385,29.615384615384617,0.2774234923654496
22,364,28.0,0.26229130187278876
23,330,25.384615384615383,0.23779156488467107
24,314,24.153846153846153,0.2262622768902628
25,308,23.692307692307693,0.2219387938923597
26,297,22.846153846153847,0.21401240839620397
27,368,28.307692307692307,0.2651736238713908
28,374,28.76923076923077,0.26949710686929396
29,293,22.53846153846154,0.21113008639760192
30,241,18.53846153846154,0.17365990041577498
31,212,16.307692307692307,0.1527630659259099
32,200,15.384615384615385,0.1441160999301037
33,275,21.153846153846153,0.19815963740389256
34,213,16.384615384615383,0.15348364642556042
35,206,15.846153846153847,0.14843958292800682
36,147,11.307692307692308,0.10592533344862623
37,140,10.76923076923077,0.1008812699510726
38,134,10.307692307692308,0.09655778695316948
39,136,10.461538461538462,0.09799894795247052
40,118,9.076923076923077,0.08502849895876118
41,110,8.461538461538462,0.07926385496155704
42,104,8.0,0.07494037196365393
43,86,6.615384615384615,0.061969922969944594
44,87,6.6923076923076925,0.06269050346959511
45,105,8.076923076923077,0.07566095246330444
46,82,6.3076923076923075,0.05908760097134251
47,97,7.461538461538462,0.0698963084661003
48,81,6.230769230769231,0.058367020471692
49,76,5.846153846153846,0.0547641179734394
50,98,7.538461538461538,0.07061688896575082
51,120,9.23076923076923,0.08646965995806222
52,92,7.076923076923077,0.0662934059678477
53,117,9.0,0.08430791845911066
54,87,6.6923076923076925,0.06269050346959511
55,101,7.769230769230769,0.07277863046470237
56,88,6.769230769230769,0.06341108396924564
57,94,7.230769230769231,0.06773456696714875
58,78,6.0,0.05620527897274044
59,71,5.461538461538462,0.051161215475186816
60,93,7.153846153846154,0.06701398646749823
61,85,6.538461538461538,0.061249342470294066
62,67,5.153846153846154,0.04827889347658474
63,66,5.076923076923077,0.04755831297693421
64,74,5.6923076923076925,0.05332295697413837
65,82,6.3076923076923075,0.05908760097134251
66,56,4.3076923076923075,0.04035250798042903
67,74,5.6923076923076925,0.05332295697413837
68,53,4.076923076923077,0.03819076648147748
69,65,5.0,0.0468377324772837
70,61,4.6923076923076925,0.04395541047868163
71,79,6.076923076923077,0.056925859472390955
72,60,4.615384615384615,0.04323482997903111
73,47,3.6153846153846154,0.03386728348357437
74,52,4.0,0.03747018598182696
75,41,3.1538461538461537,0.029543800485671255
76,56,4.3076923076923075,0.04035250798042903
77,37,2.8461538461538463,0.026661478487069186
78,47,3.6153846153846154,0.03386728348357437
79,41,3.1538461538461537,0.029543800485671255
80,42,3.230769230769231,0.030264380985321776
81,44,3.3846153846153846,0.03170554198462282
82,62,4.769230769230769,0.04467599097833214
83,45,3.4615384615384617,0.03242612248427334
84,70,5.384615384615385,0.0504406349755363
85,70,5.384615384615385,0.0504406349755363
86,76,5.846153846153846,0.0547641179734394
87,61,4.6923076923076925,0.04395541047868163
88,48,3.6923076923076925,0.034587863983224894
89,64,4.923076923076923,0.046117151977633185
90,53,4.076923076923077,0.03819076648147748
91,76,5.846153846153846,0.0547641179734394
92,56,4.3076923076923075,0.04035250798042903
93,58,4.461538461538462,0.041793668979730074
94,57,4.384615384615385,0.04107308848007955
95,41,3.1538461538461537,0.029543800485671255
96,50,3.8461538461538463,0.03602902498252593
97,56,4.3076923076923075,0.04035250798042903
98,73,5.615384615384615,0.052602376474487844
99,59,4.538461538461538,0.04251424947938059
100,51,3.923076923076923,0.03674960548217644
101,72,5.538461538461538,0.05188179597483733
102,64,4.923076923076923,0.046117151977633185
103,42,3.230769230769231,0.030264380985321776
104,44,3.3846153846153846,0.03170554198462282
105,44,3.3846153846153846,0.03170554198462282
106,53,4.076923076923077,0.03819076648147748
107,49,3.769230769230769,0.03530844448287541
108,54,4.153846153846154,0.038911346981128
109,38,2.923076923076923,0.0273820589867197
110,47,3.6153846153846154,0.03386728348357437
111,48,3.6923076923076925,0.034587863983224894
112,51,3.923076923076923,0.03674960548217644
113,32,2.4615384615384617,0.023058575988816592
114,39,3.0,0.02810263948637022
115,42,3.230769230769231,0.030264380985321776
116,29,2.230769230769231,0.020896834489865037
117,37,2.8461538461538463,0.026661478487069186
118,42,3.230769230769231,0.030264380985321776
119,30,2.3076923076923075,0.021617414989515554
120,64,4.923076923076923,0.046117151977633185
121,63,4.846153846153846,0.04539657147798266
122,33,2.5384615384615383,0.023779156488467106
123,22,1.6923076923076923,0.01585277099231141
124,32,2.4615384615384617,0.023058575988816592
125,34,2.6153846153846154,0.02449973698811763
126,32,2.4615384615384617,0.023058575988816592
127,35,2.6923076923076925,0.02522031748776815
128,20,1.5384615384615385,0.01441160999301037
129,22,1.6923076923076923,0.01585277099231141
130,32,2.4615384615384617,0.023058575988816592
131,39,3.0,0.02810263948637022
132,36,2.769230769230769,0.025940897987418665
133,29,2.230769230769231,0.020896834489865037
134,44,3.3846153846153846,0.03170554198462282
135,36,2.769230769230769,0.025940897987418665
136,27,2.076923076923077,0.019455673490564
137,24,1.8461538461538463,0.017293931991612447
138,31,2.3846153846153846,0.02233799548916607
139,25,1.9230769230769231,0.018014512491262964
140,26,2.0,0.01873509299091348
141,31,2.3846153846153846,0.02233799548916607
142,40,3.076923076923077,0.02882321998602074
143,27,2.076923076923077,0.019455673490564
144,20,1.5384615384615385,0.01441160999301037
145,36,2.769230769230769,0.025940897987418665
146,21,1.6153846153846154,0.015132190492660888
147,44,3.3846153846153846,0.03170554198462282
148,28,2.1538461538461537,0.020176253990214516
149,23,1.7692307692307692,0.016573351491961926
150,24,1.8461538461538463,0.017293931991612447
151,47,3.6153846153846154,0.03386728348357437
152,64,4.923076923076923,0.046117151977633185
