Day,Count,Average per Video,Relative Probability (%)
1,585,585.0,37.66902768834514
2,123,123.0,7.920154539600772
3,45,45.0,2.8976175144880876
4,58,58.0,3.7347070186735354
5,35,35.0,2.2537025112685125
6,24,24.0,1.5453960077269802
7,30,30.0,1.9317450096587252
8,24,24.0,1.5453960077269802
9,19,19.0,1.2234385061171926
10,23,23.0,1.4810045074050224
11,18,18.0,1.159047005795235
12,14,14.0,0.901481004507405
13,9,9.0,0.5795235028976174
14,11,11.0,0.7083065035415326
15,21,21.0,1.3522215067611076
16,13,13.0,0.8370895041854475
17,10,10.0,0.643915003219575
18,6,6.0,0.38634900193174504
19,7,7.0,0.4507405022537025
20,5,5.0,0.3219575016097875
21,2,2.0,0.128783000643915
22,8,8.0,0.51513200257566
23,4,4.0,0.25756600128783
24,15,15.0,0.9658725048293626
25,6,6.0,0.38634900193174504
26,6,6.0,0.38634900193174504
27,4,4.0,0.25756600128783
28,4,4.0,0.25756600128783
29,5,5.0,0.3219575016097875
30,4,4.0,0.25756600128783
31,8,8.0,0.51513200257566
32,6,6.0,0.38634900193174504
33,4,4.0,0.25756600128783
34,7,7.0,0.4507405022537025
35,5,5.0,0.3219575016097875
36,2,2.0,0.128783000643915
37,7,7.0,0.4507405022537025
38,4,4.0,0.25756600128783
39,5,5.0,0.3219575016097875
40,3,3.0,0.19317450096587252
41,1,1.0,0.0643915003219575
42,4,4.0,0.25756600128783
43,3,3.0,0.19317450096587252
44,4,4.0,0.25756600128783
45,6,6.0,0.38634900193174504
46,4,4.0,0.25756600128783
47,8,8.0,0.51513200257566
48,9,9.0,0.5795235028976174
49,4,4.0,0.25756600128783
50,1,1.0,0.0643915003219575
52,3,3.0,0.19317450096587252
53,4,4.0,0.25756600128783
54,4,4.0,0.25756600128783
55,1,1.0,0.0643915003219575
56,1,1.0,0.0643915003219575
57,1,1.0,0.0643915003219575
58,2,2.0,0.128783000643915
59,5,5.0,0.3219575016097875
60,7,7.0,0.4507405022537025
61,5,5.0,0.3219575016097875
62,1,1.0,0.0643915003219575
64,1,1.0,0.0643915003219575
65,2,2.0,0.128783000643915
66,2,2.0,0.128783000643915
67,2,2.0,0.128783000643915
69,1,1.0,0.0643915003219575
70,3,3.0,0.19317450096587252
71,4,4.0,0.25756600128783
72,1,1.0,0.0643915003219575
73,1,1.0,0.0643915003219575
75,1,1.0,0.0643915003219575
76,2,2.0,0.128783000643915
77,3,3.0,0.19317450096587252
78,2,2.0,0.128783000643915
79,2,2.0,0.128783000643915
81,3,3.0,0.19317450096587252
82,4,4.0,0.25756600128783
83,6,6.0,0.38634900193174504
84,1,1.0,0.0643915003219575
85,3,3.0,0.19317450096587252
86,2,2.0,0.128783000643915
87,1,1.0,0.0643915003219575
88,2,2.0,0.128783000643915
89,3,3.0,0.19317450096587252
90,1,1.0,0.0643915003219575
91,1,1.0,0.0643915003219575
92,1,1.0,0.0643915003219575
93,3,3.0,0.19317450096587252
94,1,1.0,0.0643915003219575
95,1,1.0,0.0643915003219575
98,3,3.0,0.19317450096587252
99,1,1.0,0.0643915003219575
100,3,3.0,0.19317450096587252
101,4,4.0,0.25756600128783
102,1,1.0,0.0643915003219575
103,1,1.0,0.0643915003219575
107,1,1.0,0.0643915003219575
111,2,2.0,0.128783000643915
112,2,2.0,0.128783000643915
114,1,1.0,0.0643915003219575
117,2,2.0,0.128783000643915
118,1,1.0,0.0643915003219575
119,2,2.0,0.128783000643915
120,1,1.0,0.0643915003219575
121,3,3.0,0.19317450096587252
123,1,1.0,0.0643915003219575
124,2,2.0,0.128783000643915
125,1,1.0,0.0643915003219575
127,3,3.0,0.19317450096587252
128,1,1.0,0.0643915003219575
129,2,2.0,0.128783000643915
131,1,1.0,0.0643915003219575
134,1,1.0,0.0643915003219575
