Day,Hour,Count,Average per Video,Relative Probability
0,0,111,111.0,0.07147456535737283
0,1,74,74.0,0.04764971023824855
0,2,50,50.0,0.03219575016097875
0,3,50,50.0,0.03219575016097875
0,4,37,37.0,0.023824855119124275
0,5,25,25.0,0.016097875080489377
0,6,28,28.0,0.0180296200901481
0,7,25,25.0,0.016097875080489377
0,8,25,25.0,0.016097875080489377
0,9,14,14.0,0.00901481004507405
0,10,6,6.0,0.0038634900193174502
0,11,8,8.0,0.0051513200257566
0,12,8,8.0,0.0051513200257566
0,13,6,6.0,0.0038634900193174502
0,14,9,9.0,0.005795235028976175
0,15,10,10.0,0.00643915003219575
0,16,21,21.0,0.013522215067611075
0,17,8,8.0,0.0051513200257566
0,18,10,10.0,0.00643915003219575
0,19,11,11.0,0.0070830650354153256
0,20,8,8.0,0.0051513200257566
0,21,19,19.0,0.012234385061171926
0,22,13,13.0,0.008370895041854474
0,23,9,9.0,0.005795235028976175
1,0,8,8.0,0.0051513200257566
1,1,11,11.0,0.0070830650354153256
1,2,5,5.0,0.003219575016097875
1,3,3,3.0,0.0019317450096587251
1,4,11,11.0,0.0070830650354153256
1,5,9,9.0,0.005795235028976175
1,6,5,5.0,0.003219575016097875
1,7,6,6.0,0.0038634900193174502
1,8,5,5.0,0.003219575016097875
1,9,1,1.0,0.000643915003219575
1,10,5,5.0,0.003219575016097875
1,11,5,5.0,0.003219575016097875
1,13,1,1.0,0.000643915003219575
1,14,3,3.0,0.0019317450096587251
1,15,6,6.0,0.0038634900193174502
1,16,3,3.0,0.0019317450096587251
1,18,5,5.0,0.003219575016097875
1,19,6,6.0,0.0038634900193174502
1,20,4,4.0,0.0025756600128783
1,21,10,10.0,0.00643915003219575
1,22,7,7.0,0.004507405022537025
1,23,4,4.0,0.0025756600128783
2,0,2,2.0,0.00128783000643915
2,1,1,1.0,0.000643915003219575
2,2,5,5.0,0.003219575016097875
2,4,1,1.0,0.000643915003219575
2,5,3,3.0,0.0019317450096587251
2,6,1,1.0,0.000643915003219575
2,7,2,2.0,0.00128783000643915
2,11,2,2.0,0.00128783000643915
2,12,2,2.0,0.00128783000643915
2,13,2,2.0,0.00128783000643915
2,15,1,1.0,0.000643915003219575
2,16,2,2.0,0.00128783000643915
2,17,1,1.0,0.000643915003219575
2,18,2,2.0,0.00128783000643915
2,19,4,4.0,0.0025756600128783
2,21,1,1.0,0.000643915003219575
2,22,4,4.0,0.0025756600128783
2,23,9,9.0,0.005795235028976175
3,0,10,10.0,0.00643915003219575
3,1,10,10.0,0.00643915003219575
3,2,3,3.0,0.0019317450096587251
3,3,7,7.0,0.004507405022537025
3,4,2,2.0,0.00128783000643915
3,5,3,3.0,0.0019317450096587251
3,6,3,3.0,0.0019317450096587251
3,7,2,2.0,0.00128783000643915
3,8,2,2.0,0.00128783000643915
3,9,1,1.0,0.000643915003219575
3,10,3,3.0,0.0019317450096587251
