Day,Count,Average per Video,Relative Probability (%)
1,42364,1513.0,57.56525756525755
2,5203,185.82142857142858,7.069965893495304
3,3198,114.21428571428571,4.3455219925808155
4,2233,79.75,3.0342559754324454
5,1752,62.57142857142857,2.380661204190616
6,1213,43.32142857142857,1.6482545894310598
7,991,35.392857142857146,1.346595464242523
8,735,26.25,0.9987362928539398
9,643,22.964285714285715,0.8737244031361677
10,621,22.178571428571427,0.8438302555949613
11,488,17.428571428571427,0.6631065454594864
12,435,15.535714285714286,0.5910888263829439
13,357,12.75,0.4851004851004851
14,324,11.571428571428571,0.4402592637886755
15,275,9.821428571428571,0.3736768442650795
16,253,9.035714285714286,0.3437826967238732
17,197,7.035714285714286,0.2676885029826206
18,222,7.928571428571429,0.30165912518853694
19,199,7.107142857142857,0.2704061527590939
20,204,7.285714285714286,0.2772002772002772
21,198,7.071428571428571,0.2690473278708572
22,194,6.928571428571429,0.26361202831791064
23,171,6.107142857142857,0.23235905588846759
24,145,5.178571428571429,0.19702960879431466
25,119,4.25,0.1617001617001617
26,137,4.892857142857143,0.18615900968842145
27,144,5.142857142857143,0.19567078390607803
28,114,4.071428571428571,0.1549060372589784
29,109,3.892857142857143,0.14811191281779515
30,169,6.035714285714286,0.2296414061119943
31,101,3.607142857142857,0.13724131371190193
32,94,3.357142857142857,0.12772953949424537
33,75,2.6785714285714284,0.10191186661774895
34,93,3.3214285714285716,0.1263707146060087
35,87,3.107142857142857,0.1182177652765888
36,88,3.142857142857143,0.11957659016482544
37,78,2.7857142857142856,0.10598834128245892
38,97,3.4642857142857144,0.13180601415895532
39,69,2.4642857142857144,0.09375891728832904
40,52,1.8571428571428572,0.07065889418830594
41,41,1.4642857142857142,0.05571182041770276
42,59,2.107142857142857,0.08017066840596251
43,41,1.4642857142857142,0.05571182041770276
44,59,2.107142857142857,0.08017066840596251
45,49,1.75,0.06658241952359599
46,53,1.8928571428571428,0.0720177190765426
47,62,2.2142857142857144,0.08424714307067248
48,52,1.8571428571428572,0.07065889418830594
49,56,2.0,0.07609419374125255
50,46,1.6428571428571428,0.06250594485888603
51,52,1.8571428571428572,0.07065889418830594
52,47,1.6785714285714286,0.06386476974712268
53,55,1.9642857142857142,0.07473536885301589
54,42,1.5,0.057070645305939416
55,44,1.5714285714285714,0.05978829508241272
56,34,1.2142857142857142,0.046200046200046196
57,51,1.8214285714285714,0.0693000693000693
58,36,1.2857142857142858,0.04891769597651951
59,49,1.75,0.06658241952359599
60,52,1.8571428571428572,0.07065889418830594
61,43,1.5357142857142858,0.058429470194176075
62,41,1.4642857142857142,0.05571182041770276
63,42,1.5,0.057070645305939416
64,69,2.4642857142857144,0.09375891728832904
65,82,2.9285714285714284,0.11142364083540553
66,66,2.357142857142857,0.08968244262361909
67,76,2.7142857142857144,0.10327069150598563
68,151,5.392857142857143,0.20518255812373457
69,101,3.607142857142857,0.13724131371190193
70,108,3.857142857142857,0.1467530879295585
71,90,3.2142857142857144,0.12229423994129876
72,67,2.392857142857143,0.09104126751185573
73,39,1.3928571428571428,0.05299417064122946
74,56,2.0,0.07609419374125255
75,55,1.9642857142857142,0.07473536885301589
76,47,1.6785714285714286,0.06386476974712268
77,25,0.8928571428571429,0.033970622205916325
78,49,1.75,0.06658241952359599
79,47,1.6785714285714286,0.06386476974712268
80,32,1.1428571428571428,0.043482396423572885
81,53,1.8928571428571428,0.0720177190765426
82,35,1.25,0.04755887108828284
83,39,1.3928571428571428,0.05299417064122946
84,34,1.2142857142857142,0.046200046200046196
85,59,2.107142857142857,0.08017066840596251
86,39,1.3928571428571428,0.05299417064122946
87,30,1.0714285714285714,0.04076474664709958
88,29,1.0357142857142858,0.039405921758862934
89,46,1.6428571428571428,0.06250594485888603
90,45,1.6071428571428572,0.06114711997064938
91,49,1.75,0.06658241952359599
92,54,1.9285714285714286,0.07337654396477925
93,43,1.5357142857142858,0.058429470194176075
94,37,1.3214285714285714,0.050276520864756154
95,40,1.4285714285714286,0.05435299552946611
96,41,1.4642857142857142,0.05571182041770276
97,39,1.3928571428571428,0.05299417064122946
98,50,1.7857142857142858,0.06794124441183265
99,28,1.0,0.038047096870626275
100,24,0.8571428571428571,0.032611797317679665
101,33,1.1785714285714286,0.044841221311809544
102,30,1.0714285714285714,0.04076474664709958
103,43,1.5357142857142858,0.058429470194176075
104,32,1.1428571428571428,0.043482396423572885
105,35,1.25,0.04755887108828284
106,41,1.4642857142857142,0.05571182041770276
107,25,0.8928571428571429,0.033970622205916325
108,30,1.0714285714285714,0.04076474664709958
109,34,1.2142857142857142,0.046200046200046196
110,26,0.9285714285714286,0.03532944709415297
111,27,0.9642857142857143,0.03668827198238962
112,40,1.4285714285714286,0.05435299552946611
113,28,1.0,0.038047096870626275
114,25,0.8928571428571429,0.033970622205916325
115,37,1.3214285714285714,0.050276520864756154
116,31,1.1071428571428572,0.04212357153533624
117,29,1.0357142857142858,0.039405921758862934
118,27,0.9642857142857143,0.03668827198238962
119,23,0.8214285714285714,0.03125297242944301
120,22,0.7857142857142857,0.02989414754120636
121,22,0.7857142857142857,0.02989414754120636
122,24,0.8571428571428571,0.032611797317679665
123,23,0.8214285714285714,0.03125297242944301
124,31,1.1071428571428572,0.04212357153533624
125,22,0.7857142857142857,0.02989414754120636
126,22,0.7857142857142857,0.02989414754120636
127,24,0.8571428571428571,0.032611797317679665
128,21,0.75,0.028535322652969708
129,31,1.1071428571428572,0.04212357153533624
130,26,0.9285714285714286,0.03532944709415297
131,39,1.3928571428571428,0.05299417064122946
132,24,0.8571428571428571,0.032611797317679665
133,23,0.8214285714285714,0.03125297242944301
134,28,1.0,0.038047096870626275
135,34,1.2142857142857142,0.046200046200046196
136,22,0.7857142857142857,0.02989414754120636
137,46,1.6428571428571428,0.06250594485888603
138,30,1.0714285714285714,0.04076474664709958
139,21,0.75,0.028535322652969708
140,35,1.25,0.04755887108828284
141,31,1.1071428571428572,0.04212357153533624
142,26,0.9285714285714286,0.03532944709415297
143,30,1.0714285714285714,0.04076474664709958
144,24,0.8571428571428571,0.032611797317679665
145,25,0.8928571428571429,0.033970622205916325
146,23,0.8214285714285714,0.03125297242944301
147,26,0.9285714285714286,0.03532944709415297
148,20,0.7142857142857143,0.027176497764733056
149,24,0.8571428571428571,0.032611797317679665
150,31,1.1071428571428572,0.04212357153533624
151,35,1.25,0.04755887108828284
152,36,1.2857142857142858,0.04891769597651951
153,30,1.0714285714285714,0.04076474664709958
154,21,0.75,0.028535322652969708
155,50,1.7857142857142858,0.06794124441183265
156,27,0.9642857142857143,0.03668827198238962
157,28,1.0,0.038047096870626275
158,27,0.9642857142857143,0.03668827198238962
159,22,0.7857142857142857,0.02989414754120636
160,23,0.8214285714285714,0.03125297242944301
161,33,1.1785714285714286,0.044841221311809544
162,21,0.75,0.028535322652969708
163,29,1.0357142857142858,0.039405921758862934
164,33,1.1785714285714286,0.044841221311809544
165,24,0.8571428571428571,0.032611797317679665
166,26,0.9285714285714286,0.03532944709415297
167,23,0.8214285714285714,0.03125297242944301
168,33,1.1785714285714286,0.044841221311809544
169,24,0.8571428571428571,0.032611797317679665
170,22,0.7857142857142857,0.02989414754120636
171,29,1.0357142857142858,0.039405921758862934
172,31,1.1071428571428572,0.04212357153533624
173,36,1.2857142857142858,0.04891769597651951
174,12,0.42857142857142855,0.016305898658839833
175,29,1.0357142857142858,0.039405921758862934
176,21,0.75,0.028535322652969708
177,18,0.6428571428571429,0.024458847988259754
178,23,0.8214285714285714,0.03125297242944301
179,27,0.9642857142857143,0.03668827198238962
180,31,1.1071428571428572,0.04212357153533624
181,23,0.8214285714285714,0.03125297242944301
182,25,0.8928571428571429,0.033970622205916325
183,20,0.7142857142857143,0.027176497764733056
184,20,0.7142857142857143,0.027176497764733056
185,16,0.5714285714285714,0.021741198211786442
186,14,0.5,0.019023548435313137
187,22,0.7857142857142857,0.02989414754120636
188,11,0.39285714285714285,0.01494707377060318
189,21,0.75,0.028535322652969708
190,8,0.2857142857142857,0.010870599105893221
191,20,0.7142857142857143,0.027176497764733056
192,10,0.35714285714285715,0.013588248882366528
193,16,0.5714285714285714,0.021741198211786442
194,24,0.8571428571428571,0.032611797317679665
195,17,0.6071428571428571,0.023100023100023098
196,29,1.0357142857142858,0.039405921758862934
197,12,0.42857142857142855,0.016305898658839833
198,11,0.39285714285714285,0.01494707377060318
199,13,0.4642857142857143,0.017664723547076485
200,9,0.32142857142857145,0.012229423994129877
201,8,0.2857142857142857,0.010870599105893221
202,15,0.5357142857142857,0.02038237332354979
203,14,0.5,0.019023548435313137
204,28,1.0,0.038047096870626275
205,15,0.5357142857142857,0.02038237332354979
206,12,0.42857142857142855,0.016305898658839833
207,17,0.6071428571428571,0.023100023100023098
208,21,0.75,0.028535322652969708
209,14,0.5,0.019023548435313137
210,26,0.9285714285714286,0.03532944709415297
211,12,0.42857142857142855,0.016305898658839833
212,21,0.75,0.028535322652969708
213,19,0.6785714285714286,0.025817672876496407
214,11,0.39285714285714285,0.01494707377060318
215,17,0.6071428571428571,0.023100023100023098
216,20,0.7142857142857143,0.027176497764733056
217,34,1.2142857142857142,0.046200046200046196
218,24,0.8571428571428571,0.032611797317679665
219,22,0.7857142857142857,0.02989414754120636
220,14,0.5,0.019023548435313137
221,19,0.6785714285714286,0.025817672876496407
222,31,1.1071428571428572,0.04212357153533624
223,9,0.32142857142857145,0.012229423994129877
224,21,0.75,0.028535322652969708
225,26,0.9285714285714286,0.03532944709415297
226,16,0.5714285714285714,0.021741198211786442
227,22,0.7857142857142857,0.02989414754120636
228,15,0.5357142857142857,0.02038237332354979
229,13,0.4642857142857143,0.017664723547076485
230,23,0.8214285714285714,0.03125297242944301
231,15,0.5357142857142857,0.02038237332354979
232,10,0.35714285714285715,0.013588248882366528
233,16,0.5714285714285714,0.021741198211786442
234,11,0.39285714285714285,0.01494707377060318
235,37,1.3214285714285714,0.050276520864756154
236,17,0.6071428571428571,0.023100023100023098
237,28,1.0,0.038047096870626275
238,11,0.39285714285714285,0.01494707377060318
239,18,0.6428571428571429,0.024458847988259754
240,9,0.32142857142857145,0.012229423994129877
