Day,Hour,Count,Average per Video,Relative Probability
0,0,29054,785.2432432432432,0.11047652364366435
0,1,16334,441.4594594594595,0.06210929776263557
0,2,11584,313.0810810810811,0.04404763715454698
0,3,9316,251.78378378378378,0.03542366952104278
0,4,7997,216.13513513513513,0.03040823155429145
0,5,6337,171.27027027027026,0.0240961564786226
0,6,5215,140.94594594594594,0.019829802120248832
0,7,4284,115.78378378378379,0.016289716641063472
0,8,3776,102.05405405405405,0.014358069569714207
0,9,3226,87.1891891891892,0.012266719394040794
0,10,2907,78.56756756756756,0.011053736292150212
0,11,2532,68.43243243243244,0.00962781571782743
0,12,2298,62.108108108108105,0.008738041279450014
0,13,2261,61.108108108108105,0.008597350449450165
0,14,2260,61.08108108108108,0.008593547994585305
0,15,2260,61.08108108108108,0.008593547994585305
0,16,2187,59.108108108108105,0.00831596878945047
0,17,1976,53.4054054054054,0.00751365081296485
0,18,2098,56.7027027027027,0.007977550306477862
0,19,2154,58.21621621621622,0.008190487778910065
0,20,2533,68.45945945945945,0.009631618172692289
0,21,2585,69.86486486486487,0.00982934582566505
0,22,3470,93.78378378378379,0.01319451838106682
0,23,2716,73.4054054054054,0.010327467412961809
1,0,2041,55.16216216216216,0.0077608103791807995
1,1,1738,46.972972972972975,0.006608666555127991
1,2,1903,51.432432432432435,0.007236071607830016
1,3,1919,51.86486486486486,0.007296910885667788
1,4,2004,54.16216216216216,0.007620119549180951
1,5,1638,44.270270270270274,0.006228421068641916
1,6,1471,39.75675675675676,0.0055934111062101695
1,7,1265,34.189189189189186,0.004810105404048854
1,8,1187,32.08108108108108,0.004513513924589716
1,9,1057,28.56756756756757,0.004019194792157818
1,10,964,26.054054054054053,0.003665566489725767
1,11,910,24.594594594594593,0.0034602339270232863
1,12,973,26.2972972972973,0.003699788583509514
1,13,933,25.216216216216218,0.003547690388915084
1,14,833,22.513513513513512,0.0031674449024290084
1,15,804,21.72972972972973,0.0030571737113480467
1,16,797,21.54054054054054,0.003030556527294021
1,17,768,20.756756756756758,0.0029202853362130595
1,18,811,21.91891891891892,0.003083790895402072
1,19,870,23.513513513513512,0.003308135732428856
1,20,870,23.513513513513512,0.003308135732428856
1,21,800,21.62162162162162,0.0030419638918886033
1,22,850,22.972972972972972,0.003232086635131641
1,23,851,23.0,0.003235889089996502
2,0,2639,71.32432432432432,0.01003467838836753
2,1,1020,27.56756756756757,0.0038785039621579698
2,2,762,20.594594594594593,0.0028974706070238948
2,3,686,18.54054054054054,0.0026084840372944773
2,4,602,16.27027027027027,0.0022890778286461743
2,5,485,13.108108108108109,0.001844190609457466
2,6,663,17.91891891891892,0.0025210275754026803
2,7,609,16.45945945945946,0.0023156950127001994
2,8,756,20.43243243243243,0.00287465587783473
2,9,924,24.972972972972972,0.003513468295131337
2,10,885,23.91891891891892,0.0033651725554017676
2,11,883,23.864864864864863,0.003357567645672046
2,12,848,22.91891891891892,0.00322448172540192
2,13,875,23.64864864864865,0.00332714800675316
2,14,776,20.972972972972972,0.0029507049751319454
2,15,719,19.43243243243243,0.0027339650478348824
2,16,807,21.81081081081081,0.003068581075942629
2,17,857,23.16216216216216,0.0032587038191856663
2,18,822,22.216216216216218,0.0031256178989155403
2,19,743,20.08108108108108,0.0028252239645915403
2,20,693,18.72972972972973,0.002635101221348503
2,21,691,18.675675675675677,0.0026274963116187816
2,22,696,18.81081081081081,0.002646508585943085
2,23,591,15.972972972972974,0.0022472508251327058
3,0,548,14.81081081081081,0.0020837452659436934
3,1,570,15.405405405405405,0.00216739927297063
3,2,623,16.83783783783784,0.00236892938080825
3,3,633,17.10810810810811,0.0024069539294568577
3,4,682,18.43243243243243,0.0025932742178350343
3,5,657,17.756756756756758,0.0024982128462135156
3,6,546,14.756756756756756,0.0020761403562139717
3,7,532,14.378378378378379,0.0020229059881059215
3,8,598,16.16216216216216,0.002273868009186731
3,9,521,14.08108108108108,0.001981078984592453
3,10,445,12.027027027027026,0.0016920924148630355
3,11,446,12.054054054054054,0.0016958948697278966
3,12,414,11.18918918918919,0.0015742163140523523
3,13,354,9.567567567567568,0.0013460690221607072
3,14,364,9.837837837837839,0.0013840935708093146
3,15,372,10.054054054054054,0.0014145132097282006
3,16,373,10.08108108108108,0.0014183156645930614
3,17,409,11.054054054054054,0.0015552040397280487
3,18,432,11.675675675675675,0.001642660501619846
3,19,448,12.108108108108109,0.001703499779457618
3,20,369,9.972972972972974,0.0014031058451336184
3,21,389,10.513513513513514,0.0014791549424308336
3,22,365,9.864864864864865,0.0013878960256741753
3,23,428,11.567567567567568,0.001627450682160403
4,0,390,10.54054054054054,0.0014829573972956942
4,1,445,12.027027027027026,0.0016920924148630355
4,2,372,10.054054054054054,0.0014145132097282006
4,3,357,9.64864864864865,0.0013574763867552893
4,4,352,9.513513513513514,0.0013384641124309857
4,5,383,10.35135135135135,0.0014563402132416689
4,6,338,9.135135135135135,0.001285229744322935
4,7,368,9.945945945945946,0.0013993033902687576
4,8,406,10.972972972972974,0.0015437966751334663
4,9,423,11.432432432432432,0.0016084384078360989
4,10,321,8.675675675675675,0.001220588011620302
4,11,313,8.45945945945946,0.001190168372701416
4,12,306,8.27027027027027,0.0011635511886473908
4,13,257,6.945945945945946,0.0009772309002692137
4,14,245,6.621621621621622,0.0009316014418908849
4,15,231,6.243243243243243,0.0008783670737828342
4,16,255,6.891891891891892,0.0009696259905394924
4,17,257,6.945945945945946,0.0009772309002692137
4,18,245,6.621621621621622,0.0009316014418908849
4,19,262,7.081081081081081,0.0009962431745935175
4,20,252,6.8108108108108105,0.0009582186259449101
4,21,226,6.108108108108108,0.0008593547994585304
4,22,191,5.162162162162162,0.0007262688791884041
4,23,226,6.108108108108108,0.0008593547994585304
5,0,205,5.54054054054054,0.0007795032472964547
5,1,199,5.378378378378378,0.0007566885181072901
5,2,197,5.324324324324325,0.0007490836083775687
5,3,238,6.4324324324324325,0.0009049842578368596
5,4,213,5.756756756756757,0.0008099228862153407
5,5,179,4.837837837837838,0.000680639420810075
5,6,180,4.864864864864865,0.0006844418756749358
5,7,169,4.5675675675675675,0.0006426148721614675
5,8,169,4.5675675675675675,0.0006426148721614675
5,9,175,4.72972972972973,0.000665429601350632
5,10,154,4.162162162162162,0.0005855780491885562
5,11,208,5.621621621621622,0.000790910611891037
5,12,255,6.891891891891892,0.0009696259905394924
5,13,307,8.297297297297296,0.0011673536435122514
5,14,309,8.35135135135135,0.001174958553241973
5,15,256,6.918918918918919,0.0009734284454043532
5,16,265,7.162162162162162,0.0010076505391881
5,17,285,7.702702702702703,0.001083699636485315
5,18,297,8.027027027027026,0.001129329094863644
5,19,297,8.027027027027026,0.001129329094863644
5,20,309,8.35135135135135,0.001174958553241973
5,21,320,8.64864864864865,0.0012167855567554414
