year,query,text,emotion
2020,COVID-19,"I'm an Italian from the future, we are winning guys, don't give up!",joy
2020,COVID-19,Never thought it would go this far,sadness
2020,COVID-19,This is frightening and upsetting at the same time,fear
2020,COVID-19,Crazy how were slowly going back to this.,fear
2020,COVID-19,"All of these doctors, medical staff, nurses...Once this is over, i pray and hope they all get hailed as champions, heroes and will be financially rewarded to the highest degree. God bless them, God bless Italy and it's people.",joy
2020,COVID-19,Wishing them a quick recovery.,joy
2020,COVID-19,Horrible. I had flu which triggered pneumonia a few years ago. It was horrible and painful and I wouldn't wish it on anyone,sadness
2020,COVID-19,Heart breaking  to watch patients losing. Lives. For nothing  😰😰😰😰😰😰,sadness
2020,COVID-19,"I am from the US and now more than 220,000 are dead. I can't believe how shocking this is. I am still not numb to seeing this. Don't give up, we can do it!",sadness
2020,COVID-19,Perhaps I am wrong but I can only see really old and fragile people being really ill.,sadness
2020,COVID-19,"I'm from Brescia, Italy the centre of this new virus spread. It's so sad to watch what is happening these days in Northern Italy, but I think that we all together will win this war, like any other in the past. FORZA ITALIA!",sadness
2020,COVID-19,I am crying this is terrible,sadness
2020,COVID-19,"And all those health workers are the main casualties of the frontlines, literally, they are heroes",sadness
2020,COVID-19,"I pray this is so bad I haven’t seen anything like 
All stay safe x",fear
2020,COVID-19,People need to see this. It's about the oxygen masks and breathing machines being available or overused with people waiting,sadness
2020,COVID-19,"These doctors, and assistants are working so hard, and are so overwhelmed, that one can see it in their faces. So much props and selfless acts to help the cause. 

👏👏👏👏👏💐",joy
2020,COVID-19,this makes feel sad that this is happening,sadness
2020,COVID-19,Praying for Italy 😔 🧡...,joy
2020,COVID-19,Hoping and praying for the best for the world future. Amen,joy
2020,COVID-19,Did anybody take these warnings? Nope,sadness
2020,COVID-19,"That intro was classic, hahahah!",joy
2020,COVID-19,This is simply horrible! How can some countries still not take this seriously?,anger
2020,COVID-19,Doctor just touched his glasses with his gloves !!! I’m shocked,joy
2020,COVID-19,This is dreadful 🙁,sadness
2020,COVID-19,"Product Name:N95 Medical protective Face Mask FFB3



Specification: 5 ply
 Certificates: SGSwith99.9%BFE , FDA, GB 19083-2010
 Package: 5 Pieces/Bag, 200Bags/Carton 
Dimension of Carton: 500*420*340mm
 G.W. of Carton: 10.5Kg",joy
2020,COVID-19,"These should be shown regularly to the public especially those who are violating the rules and precautions. Hopefully its an eye opener to finally do what is right to stay safe and healthy, for all!",joy
2020,COVID-19,Doctors are heroes,sadness
2020,COVID-19,"“Work out your own salvation. Do not depend on others.”
~Buddha",joy
2020,COVID-19,"America should’ve listened, now we are where we are. While the UK is flattening their curve, the US is blowing it off like nothing.",joy
2020,COVID-19,Bless the 🌎,
2020,COVID-19,Trump needs to see this. If he doesn't believe that covid-19 isn't bad. WELL HE NEEDS TO SEE THIS,sadness
2020,COVID-19,This doctor needs an Oscar for his performance in this skit 👋,joy
2020,COVID-19,First sentence is haunting,fear
2020,COVID-19,Seeing those people in those bubbles makes me panic!!,joy
2020,COVID-19,can i use some part of this clip for my college assignment ? thanks,joy
2020,COVID-19,Soo many people dieing. I think these healthcare professionals need some Counselling or some sort of therapy after this,sadness
2020,COVID-19,The guy on his phone at the end looked fine,joy
2020,COVID-19,Can I use some of the clips in the video in creating motivational video for our community? Thanks,joy
2020,COVID-19,Wasn't this due to a huge failing from a care home perspective? Much like the UK,sadness
2020,COVID-19,This footage was used two days ago on main stream media News in Australia. It was then used for the recent Melbourne outbreak of Covid 2.0,fear
2020,COVID-19,Can i use include some short clips from your video?,joy
2020,COVID-19,"Phew. That might have been the fastest we ever made a video. Literally working day and night. A huge challenge in talking about Corona was that the science is ongoing. So we put in extra special care to have good sources for this video and will update them in the coming weeks and months. Check them out here: https://sites.google.com/view/sourcescorona 


We could not have made this video without experts who took time in one of the busiest periods of their own careers. A huge thanks especially to Dr James Gurney and Dr Max Roser of Our World in Data for helping us make sure the video was as accurate as it could be in a situation that is changing daily.


Also a big shoutout to https://ourworldindata.org/ – the online publication for research and data on the world’s largest problems – and how to make progress solving them. Check out their site. It also includes a constantly updated page on the Corona Pandemic. Working together with them over the years has been a delight. 


Ok. We are very tired and are going to take a nap now. Stay healthy!",joy
2020,COVID-19,"“Wash your hands as if you’ve just cut up some jalapenos and want to put in your contacts next.”

I’ve never heard such threatening yet convincing instructions on how to wash my hands until now.",ambiguous
2020,COVID-19,"Every Kurzgesagt video:
-Facts 
-Scares you
-Then calms you down
-Add birds",joy
2020,COVID-19,"Kurzgesagt 2019: We take minimum 6 months to take out a new video
Kurzgesagt 2020: Pulls off in weeks
Hats off guys! Stay safe!!",joy
2020,COVID-19,"As someone who works in health care, this “social distancing” is to prevent NIGHTMARES at hospitals..",joy
2020,COVID-19,"“Quarantines are not great experiences”

I was already having fun being lazy. Now time to do it better.",joy
2020,COVID-19,"Symptoms of Covid19: 

Dry cough, fever and an urge to travel the world",sadness
2020,COVID-19,"This year 2020 is like.....

Looking left
And right
And left again....

Before crossing the road....

*and then getting hit by an airplane* ...",sadness
2020,COVID-19,"For the first time in human history
You can save humanity
By simply staying at home and do absolutely nothing


*And you screwed it up*",ambiguous
2020,COVID-19,"Meanwhile in the UK people are panic buying like it’s Christmas Eve, spreading the virus around the supermarkets.",sadness
2020,COVID-19,Kurzgesagt - the hero we need in times of misinformation and confusion.,sadness
2020,COVID-19,“Wash your hands like you just cut up a jalapeño and want to put a contact in your eye” - perfect way to encourage people to wash their hands PROPERLY!,joy
2020,COVID-19,"""If they start slow, with a not so steep slope, they end okay-ish.""  Love the honesty.",joy
2020,COVID-19,"Kurzgesagt: ""We are need months and years to make a video""
Also Kurzgesagt: *makes a video about a very important topic in a few weeks*
Respect guys, what a job👌💪 Thank you",joy
2020,COVID-19,"""Wash your hands like you've just cut up some jalapenos, and want to put in your contacts next."" Best advice ever.",joy
2020,COVID-19,Man... I wish we had Therapist cells that could talk the cells out from self-harm,sadness
2020,COVID-19,*Imagine kids in 2090 having to do coronavirus as a history project 💀*,ambiguous
2020,COVID-19,"I love the last expression used: ""At the end, it's all in our hands, literally and figuratively """,joy
2020,COVID-19,When you are under quarantine and it doesn’t even feel like a change from your normal lifestyle.,joy
2020,COVID-19,"Speaking this as an American, I remember watching this back in March thinking that this would be manageable since people would definitely social-distance and slow the spread. Oh hopeful me. You were so young and naive.",sadness
2020,COVID-19,"2019: Staying away from negative people 


2020:Staying away from positive people",sadness
2020,COVID-19,"Memory T cells: ""There is no protocol on how to deal with this new opponent.""
Killer T cells: ""RAGE, RAGE, F*CKING RAGE!!!""",anger
