,words,numbers
22,musstewissen,83
21,geschichte,51
37,lehrerschmidt,23
269,erklärt,23
58,deutsch,21
25,musstewissen geschichte,21
39,einfach,19
536,physik,17
144,chemie,16
69,harald,14
565,biologie,12
61,musstewissen deutsch,12
485,mathe,11
698,nicos,11
63,revolution,11
40,mathematik,11
68,lesch,10
73,harald lesch,10
697,a1,10
147,musstewissen chemie,10
602,musstewissen physik,10
572,lernen erklärt,9
475,lernen,9
701,nicos a1,9
62,französische,8
699,folge,7
488,musstewissen mathe,7
330,mittelalter,7
42,mathematik lehrerschmidt,7
569,erklärt biologie,6
181,universum,6
620,zusammenfassung,6
126,einfach erklärt,6
702,a1 folge,5
267,kommunikation,5
621,inhaltsangabe,5
311,berechnen,5
331,leben,5
414,mai,4
582,physics,4
27,spaß,4
679,kanaltrailer,4
656,funktioniert,4
206,amerika,4
160,formel,4
227,einführung,4
693,erklärt alpha,4
44,bruchrechnung,4
53,deutsche,4
96,flächeninhalt,4
694,erklärt physik,4
324,gleichungen,4
101,berechnen mathematik,4
420,pyramide,4
286,renaissance,4
399,kompakt,4
74,1848,4
314,mathematik einfach,4
65,französische revolution,4
519,lebenslauf,4
274,rhetorische,3
683,bewegung,3
322,quadratische,3
821,faszination,3
201,mendel,3
839,alpha,3
383,dreieck,3
387,ingenieur,3
805,wissen,3
551,philosophie,3
580,quantenphysik,3
100,umfang berechnen,3
624,zusammenfassung inhaltsangabe,3
97,umfang,3
89,absolutismus,3
561,modell,3
145,teil,3
619,erklärt musstewissen,3
98,flächeninhalt umfang,3
498,gehirn,3
52,kaiserreich,3
165,universums,3
31,macht,3
735,spät,2
717,wasser,2
711,universitätsklinikum,2
746,bewerben,2
713,philipslab,2
622,tschick,2
722,strömungen,2
615,standorttheorie,2
745,sachsen,2
729,punktprobe,2
614,standortfaktor,2
710,salzburg,2
617,ladung,2
730,punkt,2
670,berlin,2
703,tutorium,2
669,ingenieurinformatik,2
662,substantiv,2
661,adjektiv,2
681,muskeln,2
682,haltung,2
750,haftreibung,2
654,reiterstellung,2
685,haltung bewegung,2
686,trigonometrie,2
653,sexstellungen,2
690,anomalie,2
650,infusion,2
649,praxisbezogen,2
696,23,2
648,subkutane,2
641,dreisatz,2
635,periodensystems,2
632,doku,2
631,exoplaneten,2
625,inhaltsangabe deutsch,2
747,lehrer,2
20,dreißigjährige,2
756,neutralisation,2
932,kommunikationsstörungen,2
961,ausbildungen,2
946,syllabus,2
945,patwari,2
941,haushaltsarbeit,2
936,geschlechter,2
934,wahrscheinlichkeitsrechnung,2
928,mag,2
963,promo,2
926,wärmestrahlung,2
912,schopenhauer,2
905,atom,2
903,magen,2
896,maxim,2
893,trugbilder,2
962,akademische,2
966,hookesche,2
891,fachwirtausbildungen,2
999,beschleunigte,2
1032,digitales,2
1027,analyse,2
1021,daueraufenthalt,2
1020,staatsbürgerschaft,2
1018,knochen,2
1001,perserkriege,2
993,mrwissen2go,2
967,gesetz,2
991,bsc,2
990,wirtschaftsrecht,2
988,kraft,2
977,pole,2
976,magnetfeld,2
970,steigung,2
892,lichtbrechung,2
884,41,2
758,tageszeiten,2
781,winkelmaß,2
804,elektromagnetismus,2
798,literarische,2
797,dramatik,2
789,klitorale,2
785,wilhelm,2
782,bogenmaß,2
779,desertifikation,2
812,groß,2
778,bodendegradation,2
774,luft,2
771,wärmeströmung,2
764,schwachsinn,2
763,zeitmanagement,2
761,diäten,2
611,schmerzhaft,2
820,urmensch,2
883,bahnhof,2
850,tracking,2
881,verdauung,2
867,astrophysik,2
866,alpha lernen,2
865,erklärt deutsch,2
858,verschmähte,2
857,bodenschätze,2
849,lasern,2
827,licht,2
842,tedxstuttgart,2
841,verbindest,2
837,bewegung musstewissen,2
835,gleichförmige,2
832,zeit,2
831,morgen,2
612,sterben,2
499,dinge,2
605,terme,2
231,napoleon,2
179,revolution musstewissen,2
182,endlich,2
185,gedichtanalyse,2
189,pythagoras,2
197,atombindung,2
199,uniformitätsregel,2
200,regel,2
202,sche,2
205,mendel sche,2
211,kommazahlen,2
217,reformation,2
218,luther,2
225,ionen,2
232,bonaparte,2
290,additionsverfahren,2
